#{"t_start": 1760504751.595128, "env_id": "CartPole-v1"}
r,l,t
12.0,12,2.04223
14.0,14,2.059242
18.0,18,2.529757
11.0,11,2.542932
39.0,39,2.684115
15.0,15,2.787366
13.0,13,2.803688
22.0,22,2.920769
10.0,10,2.933508
58.0,58,3.194934
144.0,144,3.820185
22.0,22,3.846661
128.0,128,4.398279
152.0,152,5.074572
263.0,263,6.093891
289.0,289,7.238209
246.0,246,8.328425
173.0,173,9.059305
345.0,345,10.51595
500.0,500,12.541035
500.0,500,14.499069
500.0,500,18.104918
500.0,500,20.154328
500.0,500,22.08503
500.0,500,24.119793
500.0,500,26.248334
500.0,500,28.095101
500.0,500,31.881914
500.0,500,33.710945
500.0,500,35.733169
500.0,500,37.723794
500.0,500,39.770874
500.0,500,41.736337
500.0,500,45.347543
500.0,500,47.435929
500.0,500,49.474837
500.0,500,51.459486
500.0,500,53.521364
500.0,500,55.635825
500.0,500,57.751544
