#{"t_start": 1758287933.5364294, "env_id": "None"}
r,l,t
24.0,24,1.302911
17.0,17,1.331236
9.0,9,1.341105
11.0,11,1.352067
31.0,31,1.389013
25.0,25,1.416622
21.0,21,1.444428
15.0,15,1.461764
13.0,13,1.473763
26.0,26,1.501907
29.0,29,1.538895
49.0,49,1.592723
16.0,16,1.610593
20.0,20,1.635095
11.0,11,1.648372
15.0,15,1.665848
16.0,16,1.684123
38.0,38,1.727878
17.0,17,1.748693
36.0,36,1.78695
10.0,10,1.801544
12.0,12,1.821829
24.0,24,1.8519
18.0,18,1.878395
63.0,63,1.9789
14.0,14,1.996671
35.0,35,2.035706
25.0,25,2.065638
11.0,11,2.081297
16.0,16,2.099203
20.0,20,2.11944
39.0,39,2.165391
16.0,16,2.183395
55.0,55,2.245
59.0,59,2.320164
24.0,24,2.347728
42.0,42,2.400019
19.0,19,2.419773
28.0,28,2.452903
19.0,19,2.474787
24.0,24,2.501344
18.0,18,2.520354
57.0,57,2.585274
27.0,27,2.618052
45.0,45,2.66971
38.0,38,2.721946
26.0,26,2.749854
37.0,37,2.802208
27.0,27,2.830863
13.0,13,2.84706
23.0,23,2.875723
12.0,12,2.887192
23.0,23,2.914525
94.0,94,3.024067
75.0,75,3.110894
85.0,85,3.22115
28.0,28,3.250446
20.0,20,3.27491
73.0,73,3.357642
18.0,18,3.376729
17.0,17,3.397383
20.0,20,3.423483
32.0,32,3.459237
78.0,78,3.551698
19.0,19,3.571007
44.0,44,3.62376
14.0,14,3.636063
25.0,25,3.662782
17.0,17,3.687553
46.0,46,3.735348
29.0,29,3.768579
20.0,20,3.790844
31.0,31,3.825346
62.0,62,3.896092
21.0,21,3.92082
18.0,18,3.939724
15.0,15,3.95702
63.0,63,4.031463
24.0,24,4.059959
57.0,57,4.130726
91.0,91,4.234178
103.0,103,4.354711
70.0,70,4.435288
105.0,105,4.536565
34.0,34,4.567744
84.0,84,4.650347
54.0,54,4.698565
26.0,26,4.727638
38.0,38,4.76063
87.0,87,4.844055
172.0,172,5.010037
117.0,117,5.119981
178.0,178,5.291614
110.0,110,5.407269
69.0,69,5.486136
49.0,49,5.541508
139.0,139,5.698149
24.0,24,5.724615
108.0,108,5.851402
135.0,135,6.003415
29.0,29,6.04041
37.0,37,6.079496
54.0,54,6.143489
170.0,170,6.374788
219.0,219,6.617337
126.0,126,6.759115
78.0,78,6.844239
141.0,141,7.771921
101.0,101,7.899465
125.0,125,8.048023
138.0,138,8.200769
100.0,100,8.320625
171.0,171,8.526968
144.0,144,8.724387
79.0,79,8.836471
119.0,119,8.985488
271.0,271,9.353262
157.0,157,9.534909
165.0,165,9.724023
109.0,109,9.87081
170.0,170,10.066169
144.0,144,10.237413
80.0,80,10.330661
165.0,165,10.545937
168.0,168,10.816816
141.0,141,10.976689
210.0,210,11.222417
302.0,302,11.526327
161.0,161,11.677509
200.0,200,11.864847
102.0,102,11.959312
237.0,237,12.201936
116.0,116,12.331596
58.0,58,12.39669
84.0,84,12.493335
117.0,117,12.625355
121.0,121,12.771915
98.0,98,12.88027
83.0,83,12.970957
170.0,170,13.160755
64.0,64,13.231984
130.0,130,13.380459
98.0,98,13.486423
104.0,104,13.923829
93.0,93,14.09707
103.0,103,14.222744
121.0,121,14.476621
144.0,144,14.750084
145.0,145,15.243737
156.0,156,15.583181
247.0,247,15.855654
175.0,175,16.056328
175.0,175,16.30746
288.0,288,16.635059
189.0,189,16.872552
145.0,145,17.117729
299.0,299,17.470951
323.0,323,17.826333
375.0,375,18.242469
269.0,269,18.55081
199.0,199,18.771567
291.0,291,19.055595
221.0,221,19.266455
306.0,306,19.585796
163.0,163,19.769547
362.0,362,20.204542
106.0,106,20.319535
200.0,200,20.888041
109.0,109,21.013316
316.0,316,21.43399
172.0,172,21.625572
152.0,152,21.792056
90.0,90,21.89735
160.0,160,22.127238
251.0,251,22.511414
251.0,251,22.798033
166.0,166,22.989455
180.0,180,23.191859
234.0,234,23.476847
295.0,295,23.815632
230.0,230,24.082153
136.0,136,24.23376
137.0,137,24.387652
81.0,81,24.479125
95.0,95,24.586994
146.0,146,24.753665
125.0,125,24.91066
138.0,138,25.074581
113.0,113,25.220992
192.0,192,25.447233
186.0,186,25.641957
121.0,121,25.789377
140.0,140,25.943395
157.0,157,26.125221
118.0,118,26.265406
269.0,269,26.574265
147.0,147,27.091866
179.0,179,27.29795
303.0,303,27.628338
299.0,299,28.019229
141.0,141,28.172021
166.0,166,28.356002
51.0,51,28.416899
136.0,136,28.573004
167.0,167,28.764612
150.0,150,28.942245
123.0,123,29.09108
110.0,110,29.254572
35.0,35,29.302137
113.0,113,29.434815
172.0,172,29.639144
139.0,139,29.80864
111.0,111,29.944618
113.0,113,30.090316
131.0,131,30.260276
80.0,80,30.349502
152.0,152,30.521317
45.0,45,30.573118
101.0,101,30.686702
184.0,184,30.908303
21.0,21,30.936774
136.0,136,31.132423
124.0,124,31.277421
39.0,39,31.321604
25.0,25,31.35144
143.0,143,31.515818
27.0,27,31.552826
154.0,154,31.735006
43.0,43,31.783163
152.0,152,32.009735
124.0,124,32.170775
137.0,137,32.319317
125.0,125,32.472517
46.0,46,32.520295
112.0,112,32.642658
117.0,117,32.773694
164.0,164,32.962337
84.0,84,33.464063
175.0,175,33.661748
161.0,161,33.83992
34.0,34,33.878493
129.0,129,34.023247
28.0,28,34.055582
96.0,96,34.167455
276.0,276,34.523813
162.0,162,34.735717
176.0,176,34.943668
92.0,92,35.045382
90.0,90,35.160885
49.0,49,35.220583
122.0,122,35.359327
102.0,102,35.468834
130.0,130,35.613785
135.0,135,35.76692
275.0,275,36.076212
139.0,139,36.231639
158.0,158,36.463035
238.0,238,36.718596
149.0,149,36.878985
331.0,331,37.267227
258.0,258,37.544183
98.0,98,37.649649
136.0,136,37.799034
135.0,135,37.951075
302.0,302,38.287599
156.0,156,38.453161
264.0,264,38.818221
295.0,295,39.100117
221.0,221,39.951903
278.0,278,40.294112
175.0,175,40.485221
98.0,98,40.590738
182.0,182,40.793144
214.0,214,41.055614
245.0,245,41.330194
201.0,201,41.54783
170.0,170,41.731032
171.0,171,41.949244
278.0,278,42.259262
224.0,224,42.506327
216.0,216,42.739248
193.0,193,43.024565
198.0,198,43.246384
210.0,210,43.476663
309.0,309,43.80711
307.0,307,44.150185
174.0,174,44.336133
219.0,219,44.574883
331.0,331,44.938111
289.0,289,45.259554
319.0,319,46.450711
425.0,425,46.95313
482.0,482,47.534926
130.0,130,47.691588
263.0,263,48.010535
44.0,44,48.063471
137.0,137,48.231588
182.0,182,48.450895
500.0,500,49.051329
123.0,123,49.19352
68.0,68,49.269184
58.0,58,49.337205
17.0,17,49.358124
27.0,27,49.386984
42.0,42,49.438594
93.0,93,49.584095
31.0,31,49.621064
21.0,21,49.6428
28.0,28,49.680275
33.0,33,49.717866
49.0,49,49.77666
69.0,69,49.862189
17.0,17,49.881664
47.0,47,49.937298
19.0,19,49.957927
