#{"t_start": 1758301031.25578, "env_id": "None"}
r,l,t
25.0,25,1.144898
55.0,55,1.255186
14.0,14,1.262031
26.0,26,1.274356
14.0,14,1.2858
37.0,37,1.30389
15.0,15,1.311086
21.0,21,1.324867
13.0,13,1.335443
13.0,13,1.344255
12.0,12,1.352004
65.0,65,1.390529
38.0,38,1.412875
26.0,26,1.425413
15.0,15,1.439982
27.0,27,1.45301
19.0,19,1.462158
60.0,60,1.493988
20.0,20,1.506878
17.0,17,1.514993
28.0,28,1.528284
19.0,19,1.543275
8.0,8,1.547334
18.0,18,1.556227
22.0,22,1.566943
26.0,26,1.583007
21.0,21,1.593067
22.0,22,1.603424
24.0,24,1.618159
41.0,41,1.644807
25.0,25,1.661265
12.0,12,1.667133
10.0,10,1.672101
21.0,21,1.682423
24.0,24,1.69833
22.0,22,1.71043
16.0,16,1.719235
31.0,31,1.743449
16.0,16,1.75453
13.0,13,1.761813
34.0,34,1.784468
17.0,17,1.793821
30.0,30,1.814123
19.0,19,1.824407
45.0,45,1.856888
50.0,50,1.884038
15.0,15,1.895466
61.0,61,1.927317
15.0,15,1.934365
15.0,15,1.941481
22.0,22,1.95423
22.0,22,1.967958
50.0,50,1.994705
21.0,21,2.00454
31.0,31,2.019118
42.0,42,2.042159
15.0,15,2.049321
35.0,35,2.072294
28.0,28,2.085538
17.0,17,2.093719
11.0,11,2.102194
63.0,63,2.135077
26.0,26,2.147601
12.0,12,2.153452
28.0,28,2.172918
17.0,17,2.181159
16.0,16,2.188971
48.0,48,2.215102
41.0,41,2.237743
16.0,16,2.245263
9.0,9,2.249529
38.0,38,2.273473
14.0,14,2.280159
22.0,22,2.290455
26.0,26,2.306054
16.0,16,2.314023
12.0,12,2.319853
9.0,9,2.324321
14.0,14,2.331136
20.0,20,2.344321
22.0,22,2.354931
12.0,12,2.363194
64.0,64,2.397598
26.0,26,2.413432
56.0,56,2.439746
16.0,16,2.450619
14.0,14,2.457198
61.0,61,2.492082
14.0,14,2.498703
21.0,21,2.508636
22.0,22,2.522304
32.0,32,2.537453
43.0,43,2.561451
19.0,19,2.57307
12.0,12,2.57887
27.0,27,2.595124
16.0,16,2.602629
78.0,78,2.647317
29.0,29,2.669799
11.0,11,2.675278
10.0,10,2.680213
32.0,32,2.699463
45.0,45,2.720594
10.0,10,2.725317
44.0,44,2.750159
21.0,21,2.760323
16.0,16,2.773861
17.0,17,2.782143
13.0,13,2.788496
18.0,18,2.797271
27.0,27,2.813687
14.0,14,2.820438
25.0,25,2.832606
21.0,21,2.846088
37.0,37,2.863783
15.0,15,2.876653
17.0,17,2.884816
59.0,59,2.915931
22.0,22,2.926276
16.0,16,2.933873
23.0,23,2.948268
16.0,16,2.956126
29.0,29,2.970068
42.0,42,2.996017
16.0,16,3.003874
65.0,65,3.038607
32.0,32,3.057117
22.0,22,3.067437
53.0,53,3.098735
11.0,11,3.104075
12.0,12,3.109765
18.0,18,3.121619
30.0,30,3.135822
15.0,15,3.143048
17.0,17,3.15466
17.0,17,3.162808
34.0,34,3.181507
11.0,11,3.190394
22.0,22,3.200763
51.0,51,3.228035
44.0,44,3.248703
41.0,41,3.271235
22.0,22,3.284032
43.0,43,3.307958
23.0,23,3.318869
24.0,24,3.333836
22.0,22,3.344556
20.0,20,3.357802
21.0,21,3.367943
12.0,12,3.373726
12.0,12,3.37956
25.0,25,3.398781
18.0,18,3.407446
52.0,52,3.435921
29.0,29,3.449959
22.0,22,3.463954
29.0,29,3.477801
33.0,33,3.49611
41.0,41,3.519452
54.0,54,3.548522
15.0,15,3.555797
30.0,30,3.573783
32.0,32,3.591439
26.0,26,3.607582
28.0,28,3.62117
13.0,13,3.627448
29.0,29,3.644953
34.0,34,3.66126
21.0,21,3.674762
16.0,16,3.682349
19.0,19,3.693604
21.0,21,3.703843
52.0,52,3.732326
31.0,31,3.750688
24.0,24,3.762238
22.0,22,3.772956
44.0,44,3.799452
16.0,16,3.807329
15.0,15,3.818218
25.0,25,3.830168
30.0,30,3.844998
46.0,46,3.871225
77.0,77,3.913852
33.0,33,3.933108
12.0,12,3.938926
31.0,31,3.957334
20.0,20,3.967064
46.0,46,3.992627
16.0,16,4.198153
24.0,24,4.212164
15.0,15,4.219663
12.0,12,4.229991
23.0,23,4.241067
21.0,21,4.251345
14.0,14,4.261667
14.0,14,4.268469
53.0,53,4.297039
18.0,18,4.307943
27.0,27,4.321012
27.0,27,4.337332
44.0,44,4.358513
30.0,30,4.376425
89.0,89,4.424989
16.0,16,4.436331
49.0,49,4.459306
28.0,28,4.475791
57.0,57,4.506455
16.0,16,4.516486
28.0,28,4.529934
34.0,34,4.549759
20.0,20,4.559431
32.0,32,4.57819
20.0,20,4.587808
14.0,14,4.594552
15.0,15,4.601907
20.0,20,4.617175
106.0,106,4.67141
27.0,27,4.687794
33.0,33,4.703566
24.0,24,4.720866
29.0,29,4.734987
16.0,16,4.74262
23.0,23,4.75732
47.0,47,4.780864
18.0,18,4.797604
93.0,93,4.854142
12.0,12,4.860047
19.0,19,4.872681
44.0,44,4.893735
30.0,30,4.911512
40.0,40,4.932899
28.0,28,4.950217
30.0,30,4.964303
38.0,38,4.989768
26.0,26,5.002435
19.0,19,5.014925
33.0,33,5.033046
42.0,42,5.056767
20.0,20,5.066407
39.0,39,5.088289
27.0,27,5.101355
51.0,51,5.131235
23.0,23,5.142393
21.0,21,5.155692
19.0,19,5.164649
13.0,13,5.170779
22.0,22,5.184741
29.0,29,5.19882
39.0,39,5.221093
60.0,60,5.255626
10.0,10,5.260394
35.0,35,5.276785
14.0,14,5.283475
14.0,14,5.293461
10.0,10,5.298349
31.0,31,5.31327
46.0,46,5.340656
41.0,41,5.363377
34.0,34,5.379321
69.0,69,5.415836
46.0,46,5.443683
30.0,30,5.45865
24.0,24,5.473473
20.0,20,5.482858
23.0,23,5.497319
36.0,36,5.514694
15.0,15,5.521924
22.0,22,5.538244
50.0,50,5.562402
22.0,22,5.576226
55.0,55,5.605362
33.0,33,5.621135
19.0,19,5.630288
22.0,22,5.646451
17.0,17,5.654776
24.0,24,5.666362
18.0,18,5.67855
28.0,28,5.692042
48.0,48,5.718312
30.0,30,5.732332
25.0,25,5.750377
32.0,32,5.765856
47.0,47,5.791952
28.0,28,5.805558
32.0,32,5.824483
55.0,55,5.857418
55.0,55,5.887143
12.0,12,5.892985
34.0,34,5.90932
14.0,14,5.919484
14.0,14,5.926106
17.0,17,5.93434
17.0,17,5.945174
15.0,15,5.955928
31.0,31,5.971051
16.0,16,5.978822
23.0,23,5.993262
24.0,24,6.004592
36.0,36,6.032429
20.0,20,6.048902
24.0,24,6.065684
