#{"t_start": 1756024692.07971, "env_id": "None"}
r,l,t
18.0,18,1.461499
16.0,16,1.465284
11.0,11,1.468432
14.0,14,1.472694
11.0,11,1.478248
15.0,15,1.48176
24.0,24,1.487212
26.0,26,1.493098
58.0,58,1.508625
22.0,22,1.513722
14.0,14,1.516906
20.0,20,1.521394
10.0,10,1.526212
12.0,12,1.529244
17.0,17,1.533108
17.0,17,1.537028
72.0,72,1.555752
11.0,11,1.560968
14.0,14,1.564369
19.0,19,1.568626
24.0,24,1.576853
13.0,13,1.579983
12.0,12,1.582701
32.0,32,1.622081
47.0,47,1.636209
31.0,31,1.64323
11.0,11,1.645988
18.0,18,1.649999
17.0,17,1.656296
25.0,25,1.662103
24.0,24,1.679592
20.0,20,1.684097
14.0,14,1.691216
12.0,12,1.694017
26.0,26,1.700072
21.0,21,1.704711
21.0,21,1.712671
18.0,18,1.716898
20.0,20,1.721293
20.0,20,1.725701
34.0,34,1.73649
25.0,25,1.742109
41.0,41,1.751539
17.0,17,1.755426
12.0,12,1.760734
32.0,32,2.088145
12.0,12,2.10364
19.0,19,2.125716
17.0,17,2.148959
11.0,11,2.162659
22.0,22,2.191011
12.0,12,2.204076
13.0,13,2.221253
15.0,15,2.238397
16.0,16,2.255785
34.0,34,2.296799
10.0,10,2.313603
12.0,12,2.32901
13.0,13,2.346614
18.0,18,2.365477
20.0,20,2.392454
32.0,32,2.43364
17.0,17,2.457625
17.0,17,2.480309
14.0,14,2.501945
19.0,19,2.523167
22.0,22,2.549275
14.0,14,2.564691
24.0,24,2.595902
13.0,13,2.611215
11.0,11,2.622527
16.0,16,2.639122
64.0,64,2.713672
13.0,13,2.724334
12.0,12,2.734639
19.0,19,2.752215
14.0,14,2.772226
10.0,10,2.78071
15.0,15,2.795996
16.0,16,2.814812
13.0,13,2.830754
13.0,13,2.844014
19.0,19,2.8645
17.0,17,2.880494
24.0,24,2.912574
17.0,17,2.933193
14.0,14,2.947612
12.0,12,2.960295
16.0,16,2.981359
24.0,24,3.016475
14.0,14,3.036746
20.0,20,3.063253
22.0,22,3.097997
29.0,29,3.130878
12.0,12,3.148381
10.0,10,3.161106
21.0,21,3.187641
15.0,15,3.204504
21.0,21,3.230253
16.0,16,3.249137
13.0,13,3.26735
10.0,10,3.282317
13.0,13,3.295441
64.0,64,3.367119
20.0,20,3.390671
11.0,11,3.404533
15.0,15,3.42157
10.0,10,3.434206
14.0,14,3.451316
15.0,15,3.465683
10.0,10,3.477376
14.0,14,3.489822
16.0,16,3.510144
12.0,12,3.52138
13.0,13,3.546249
11.0,11,3.556367
13.0,13,3.575378
11.0,11,3.585971
9.0,9,3.598855
23.0,23,3.622054
13.0,13,3.650349
12.0,12,3.667308
44.0,44,3.721145
16.0,16,3.746413
25.0,25,3.778678
16.0,16,3.800404
11.0,11,3.817642
11.0,11,3.827919
13.0,13,3.850939
13.0,13,3.865623
9.0,9,3.876489
11.0,11,3.891485
48.0,48,3.960223
13.0,13,3.975978
19.0,19,4.003612
17.0,17,4.023406
16.0,16,4.050351
29.0,29,4.084154
12.0,12,4.098772
22.0,22,4.126307
10.0,10,4.139859
14.0,14,4.162689
56.0,56,4.230452
12.0,12,4.245595
13.0,13,4.268378
12.0,12,4.282486
10.0,10,4.296006
24.0,24,4.330824
15.0,15,4.354724
19.0,19,4.382805
11.0,11,4.400734
14.0,14,4.422391
10.0,10,4.43973
12.0,12,4.461113
15.0,15,4.484979
14.0,14,4.50257
14.0,14,4.523988
17.0,17,4.546646
11.0,11,4.560813
15.0,15,4.582581
23.0,23,4.614801
12.0,12,4.630114
14.0,14,4.649827
