#{"t_start": 1756059065.8201938, "env_id": "None"}
r,l,t
18.0,18,1.340443
16.0,16,1.342235
11.0,11,1.343466
14.0,14,1.344939
11.0,11,1.349042
15.0,15,1.350869
24.0,24,1.3537
26.0,26,1.35644
58.0,58,1.365046
22.0,22,1.367516
14.0,14,1.369224
20.0,20,1.371345
10.0,10,1.37494
12.0,12,1.376225
17.0,17,1.378019
17.0,17,1.379888
72.0,72,1.390104
11.0,11,1.39126
14.0,14,1.392758
19.0,19,1.394769
24.0,24,1.399803
13.0,13,1.401386
12.0,12,1.402869
32.0,32,1.441311
47.0,47,1.448801
31.0,31,1.452401
11.0,11,1.453563
18.0,18,1.455446
17.0,17,1.459719
25.0,25,1.462208
24.0,24,1.464621
20.0,20,1.466788
14.0,14,1.470914
12.0,12,1.47215
26.0,26,1.474737
21.0,21,1.476839
21.0,21,1.481375
18.0,18,1.48332
20.0,20,1.485687
20.0,20,1.487777
34.0,34,1.493703
25.0,25,1.496269
41.0,41,1.500572
17.0,17,1.502535
12.0,12,1.506172
32.0,32,1.818746
42.0,42,1.903562
19.0,19,1.933335
12.0,12,1.958495
18.0,18,1.980508
18.0,18,2.00939
13.0,13,2.030319
32.0,32,2.091572
10.0,10,2.103464
19.0,19,2.131438
44.0,44,2.198814
95.0,95,2.349655
13.0,13,2.368552
59.0,59,2.460726
40.0,40,2.520961
18.0,18,2.546995
30.0,30,2.594929
12.0,12,2.61359
94.0,94,2.748107
20.0,20,2.786408
18.0,18,2.817871
27.0,27,2.861438
11.0,11,2.873398
10.0,10,2.897216
11.0,11,2.914386
26.0,26,2.952636
22.0,22,2.986715
10.0,10,3.002046
24.0,24,3.03716
11.0,11,3.053671
12.0,12,3.070824
34.0,34,3.127748
11.0,11,3.145034
53.0,53,3.228328
13.0,13,3.255005
42.0,42,3.323879
11.0,11,3.340362
64.0,64,3.434809
20.0,20,3.463223
16.0,16,3.494112
22.0,22,3.526512
20.0,20,3.556648
14.0,14,3.579134
13.0,13,3.599281
15.0,15,3.623955
24.0,24,3.656811
26.0,26,3.69027
25.0,25,3.73958
14.0,14,3.758542
21.0,21,3.791092
24.0,24,3.829943
12.0,12,3.854506
19.0,19,3.888221
30.0,30,3.946687
18.0,18,3.972295
14.0,14,3.998457
29.0,29,4.04281
35.0,35,4.100546
18.0,18,4.127877
18.0,18,4.159696
18.0,18,4.18441
21.0,21,4.213392
31.0,31,4.262988
20.0,20,4.295783
12.0,12,4.31491
25.0,25,4.3545
17.0,17,4.385924
12.0,12,4.407519
59.0,59,4.492449
20.0,20,4.519836
32.0,32,4.56892
20.0,20,4.600742
11.0,11,4.619801
16.0,16,4.646673
28.0,28,4.685838
10.0,10,4.704165
15.0,15,4.723432
17.0,17,4.753454
27.0,27,4.789831
15.0,15,4.818265
14.0,14,4.843848
13.0,13,4.863277
34.0,34,4.910932
13.0,13,4.936679
14.0,14,4.960223
20.0,20,4.989564
33.0,33,5.040936
16.0,16,5.072169
22.0,22,5.109174
37.0,37,5.164163
20.0,20,5.194022
24.0,24,5.2314
19.0,19,5.264575
42.0,42,5.323883
81.0,81,5.461524
44.0,44,5.535317
28.0,28,5.576213
20.0,20,5.607958
17.0,17,5.632345
17.0,17,5.659952
17.0,17,5.688047
17.0,17,5.718769
17.0,17,5.747284
45.0,45,5.826438
22.0,22,5.860523
44.0,44,5.934932
9.0,9,5.947169
28.0,28,5.999766
18.0,18,6.024635
26.0,26,6.070676
31.0,31,6.123815
22.0,22,6.159388
19.0,19,6.195364
27.0,27,6.242131
22.0,22,6.274077
51.0,51,6.360218
15.0,15,6.389374
27.0,27,6.427146
20.0,20,6.459144
13.0,13,6.491776
41.0,41,6.556607
31.0,31,6.610434
13.0,13,6.629211
11.0,11,6.65118
24.0,24,6.69115
17.0,17,6.723624
19.0,19,6.75628
32.0,32,6.817848
17.0,17,6.845789
23.0,23,6.885628
24.0,24,6.925933
18.0,18,6.958938
25.0,25,6.996853
10.0,10,7.019566
27.0,27,7.066597
30.0,30,7.11661
20.0,20,7.151578
28.0,28,7.194984
14.0,14,7.219705
16.0,16,7.247938
25.0,25,7.291452
15.0,15,7.32216
26.0,26,7.36594
14.0,14,7.398711
20.0,20,7.435896
15.0,15,7.457407
33.0,33,7.513404
25.0,25,7.558783
31.0,31,7.614637
37.0,37,7.67339
10.0,10,7.685076
13.0,13,7.712727
51.0,51,7.791964
37.0,37,7.857672
25.0,25,7.892166
15.0,15,7.918205
17.0,17,7.944394
12.0,12,7.961867
18.0,18,7.987742
44.0,44,8.063672
10.0,10,8.080793
18.0,18,8.110652
19.0,19,8.145628
52.0,52,8.234881
50.0,50,8.321031
14.0,14,8.341612
31.0,31,8.395368
10.0,10,8.412527
37.0,37,8.478041
12.0,12,8.497112
58.0,58,8.60426
34.0,34,8.675057
16.0,16,8.704186
36.0,36,8.766603
29.0,29,8.816719
27.0,27,8.862971
73.0,73,8.978483
13.0,13,8.998934
19.0,19,9.031904
15.0,15,9.058314
39.0,39,9.119534
36.0,36,9.177146
23.0,23,9.21853
12.0,12,9.242565
16.0,16,9.26965
32.0,32,9.321368
27.0,27,9.367022
24.0,24,9.411763
12.0,12,9.434898
27.0,27,9.486856
9.0,9,9.498235
35.0,35,9.558715
18.0,18,9.587889
37.0,37,9.644011
12.0,12,9.66142
40.0,40,9.731801
36.0,36,9.796072
15.0,15,9.820155
12.0,12,9.840332
12.0,12,9.870052
43.0,43,9.944204
16.0,16,9.972019
11.0,11,9.992383
75.0,75,10.137382
24.0,24,10.175461
18.0,18,10.208286
61.0,61,10.302122
12.0,12,10.326296
47.0,47,10.413325
10.0,10,10.427414
11.0,11,10.447338
24.0,24,10.495235
40.0,40,10.56392
32.0,32,10.612542
78.0,78,10.747342
59.0,59,10.84125
49.0,49,10.928149
20.0,20,10.958326
35.0,35,11.00806
20.0,20,11.042525
18.0,18,11.070048
13.0,13,11.091924
16.0,16,11.116645
74.0,74,11.258942
