#{"t_start": 1756026021.9668858, "env_id": "None"}
r,l,t
32.0,32,2.130577
32.0,32,2.200526
32.0,32,2.255632
14.0,14,2.284539
44.0,44,2.369281
25.0,25,2.414559
19.0,19,2.450322
52.0,52,2.548936
23.0,23,2.595559
17.0,17,2.632028
12.0,12,2.661871
28.0,28,2.714035
12.0,12,2.742203
29.0,29,2.808126
20.0,20,2.847423
50.0,50,2.935901
26.0,26,2.992772
60.0,60,3.112757
12.0,12,3.136077
24.0,24,3.182327
29.0,29,3.245267
14.0,14,3.272712
22.0,22,3.325453
15.0,15,3.356399
20.0,20,3.403003
31.0,31,3.4717
16.0,16,3.504455
33.0,33,3.568285
19.0,19,3.606411
14.0,14,3.636086
32.0,32,3.697576
16.0,16,3.733572
29.0,29,3.789331
25.0,25,3.846713
20.0,20,3.885331
9.0,9,3.902544
22.0,22,3.956665
16.0,16,3.995653
19.0,19,4.044968
31.0,31,4.122985
24.0,24,4.179369
16.0,16,5.62591
34.0,34,5.678654
80.0,80,5.83741
20.0,20,5.881292
13.0,13,5.90642
30.0,30,5.963294
26.0,26,6.017237
10.0,10,6.034746
18.0,18,6.069228
41.0,41,6.150535
21.0,21,6.198265
47.0,47,6.303578
15.0,15,6.334247
13.0,13,6.366384
73.0,73,6.505612
127.0,127,6.754477
47.0,47,6.849545
31.0,31,6.918177
46.0,46,7.023299
65.0,65,7.142267
20.0,20,7.180106
24.0,24,7.234725
42.0,42,7.306469
117.0,117,7.554002
44.0,44,7.654517
134.0,134,8.994129
76.0,76,9.144265
17.0,17,9.181236
49.0,49,9.273912
36.0,36,9.334196
27.0,27,9.363574
21.0,21,9.388706
23.0,23,9.413504
85.0,85,9.522301
19.0,19,9.549232
31.0,31,9.592993
25.0,25,9.621496
41.0,41,9.67131
43.0,43,9.756217
15.0,15,9.7925
26.0,26,9.841757
39.0,39,9.917931
48.0,48,10.01064
54.0,54,10.132762
22.0,22,10.185371
16.0,16,10.22673
54.0,54,10.362942
29.0,29,10.43588
31.0,31,10.520925
57.0,57,10.66145
21.0,21,11.752462
95.0,95,11.929459
92.0,92,12.109493
65.0,65,12.235059
19.0,19,12.272864
25.0,25,12.318427
98.0,98,12.507309
73.0,73,12.664793
69.0,69,12.806175
60.0,60,12.924444
31.0,31,12.985479
13.0,13,13.010186
14.0,14,13.037101
66.0,66,13.165916
12.0,12,13.196684
89.0,89,13.355259
20.0,20,13.376916
39.0,39,13.438099
17.0,17,13.468698
14.0,14,13.495364
157.0,157,14.815341
24.0,24,14.865903
105.0,105,15.040107
25.0,25,15.098564
52.0,52,15.210901
72.0,72,15.358409
130.0,130,15.610803
92.0,92,15.806687
163.0,163,16.137198
59.0,59,16.254463
203.0,203,16.750947
111.0,111,18.197037
69.0,69,18.343316
140.0,140,18.610356
110.0,110,18.847606
103.0,103,19.050991
46.0,46,19.139256
89.0,89,19.316096
118.0,118,19.569959
95.0,95,19.761955
120.0,120,20.013989
43.0,43,20.113189
26.0,26,20.151939
140.0,140,21.528832
152.0,152,21.824635
29.0,29,21.888084
82.0,82,22.064931
282.0,282,22.692031
155.0,155,23.073314
84.0,84,23.284109
149.0,149,24.728238
173.0,173,25.100821
111.0,111,25.309754
149.0,149,25.611731
158.0,158,25.93587
207.0,207,26.365688
146.0,146,26.658973
223.0,223,28.11666
129.0,129,28.381141
169.0,169,28.569995
147.0,147,28.727834
192.0,192,29.075112
143.0,143,29.341286
186.0,186,30.607634
162.0,162,30.938958
49.0,49,31.026147
153.0,153,31.321156
166.0,166,31.667982
250.0,250,33.082329
180.0,180,34.454524
153.0,153,34.820712
313.0,313,35.593054
219.0,219,36.050141
194.0,194,36.470123
218.0,218,37.933696
297.0,297,38.521536
146.0,146,38.803377
207.0,207,39.223345
381.0,381,41.008744
173.0,173,41.435795
500.0,500,42.549781
150.0,150,42.872778
80.0,80,44.108312
327.0,327,44.746072
161.0,161,45.044814
332.0,332,45.725911
43.0,43,45.818492
297.0,297,47.625998
170.0,170,48.058934
235.0,235,48.54034
369.0,369,49.283029
284.0,284,50.875914
386.0,386,51.658769
500.0,500,53.802438
294.0,294,54.499781
500.0,500,55.505256
416.0,416,57.507846
500.0,500,58.523657
497.0,497,60.588347
308.0,308,61.217077
500.0,500,63.16705
309.0,309,63.740717
