#{"t_start": 1758208871.397799, "env_id": "None"}
r,l,t
32.0,32,2.169728
32.0,32,2.301922
32.0,32,2.425622
14.0,14,2.484374
44.0,44,2.663773
25.0,25,2.76758
19.0,19,2.846757
52.0,52,3.0644
23.0,23,3.15773
17.0,17,3.227649
12.0,12,3.275215
28.0,28,3.388949
12.0,12,3.437855
29.0,29,3.554506
20.0,20,3.636745
50.0,50,3.834833
26.0,26,3.930142
60.0,60,4.160089
12.0,12,4.205423
24.0,24,4.296395
29.0,29,4.421031
14.0,14,4.489059
22.0,22,4.596079
15.0,15,4.679629
20.0,20,4.760012
31.0,31,4.892978
16.0,16,4.957346
33.0,33,5.093812
19.0,19,5.170394
14.0,14,5.228944
32.0,32,5.359292
16.0,16,5.425793
29.0,29,5.544166
25.0,25,5.64612
20.0,20,5.731385
9.0,9,5.767333
22.0,22,5.8573
16.0,16,5.923003
19.0,19,5.997544
31.0,31,6.124947
24.0,24,6.222142
16.0,16,6.283826
28.0,28,6.395469
16.0,16,6.460477
16.0,16,6.523543
16.0,16,6.586482
18.0,18,6.654384
18.0,18,6.720281
22.0,22,6.802897
10.0,10,6.839046
95.0,95,7.202113
15.0,15,7.273439
16.0,16,7.346702
21.0,21,7.467131
14.0,14,7.521856
16.0,16,7.592786
17.0,17,7.660269
9.0,9,7.698099
16.0,16,7.761758
25.0,25,7.863909
15.0,15,7.926883
14.0,14,7.98625
79.0,79,8.308904
21.0,21,8.391461
15.0,15,8.453993
20.0,20,8.539286
19.0,19,8.617355
14.0,14,8.671931
15.0,15,8.732955
29.0,29,8.846515
9.0,9,8.882208
20.0,20,8.962346
29.0,29,9.073115
16.0,16,9.138654
28.0,28,9.252729
50.0,50,9.448019
19.0,19,9.517799
26.0,26,9.616571
16.0,16,9.678372
22.0,22,9.762062
24.0,24,9.851786
10.0,10,9.892653
27.0,27,10.00719
33.0,33,10.168956
10.0,10,10.235112
16.0,16,10.302087
12.0,12,10.350079
13.0,13,10.406209
66.0,66,14.734355
33.0,33,14.873115
32.0,32,15.000307
51.0,51,15.197632
49.0,49,15.386201
17.0,17,15.448551
23.0,23,15.5373
38.0,38,15.714265
25.0,25,15.851283
16.0,16,15.922495
82.0,82,16.262421
29.0,29,16.381931
23.0,23,16.477019
34.0,34,16.621505
51.0,51,16.834397
38.0,38,16.993216
16.0,16,17.063271
26.0,26,17.171035
38.0,38,17.323208
28.0,28,17.437141
16.0,16,17.503193
22.0,22,17.592272
21.0,21,17.67776
25.0,25,17.780149
21.0,21,17.857623
37.0,37,18.002942
39.0,39,18.149897
27.0,27,18.252657
30.0,30,18.367574
27.0,27,18.48916
15.0,15,18.561411
20.0,20,18.675935
28.0,28,18.792759
29.0,29,18.916511
58.0,58,19.154239
19.0,19,19.232823
27.0,27,19.34271
60.0,60,19.583391
24.0,24,19.684328
33.0,33,19.82348
30.0,30,19.950773
27.0,27,20.061217
57.0,57,20.295051
42.0,42,20.469383
19.0,19,20.544042
25.0,25,20.642895
46.0,46,20.816645
39.0,39,20.965746
41.0,41,21.115986
28.0,28,21.231175
30.0,30,21.373841
12.0,12,21.433937
12.0,12,21.512797
65.0,65,21.782107
19.0,19,21.860631
31.0,31,21.988811
17.0,17,22.060675
16.0,16,22.129764
45.0,45,22.314398
11.0,11,22.36088
27.0,27,22.472006
10.0,10,22.512981
29.0,29,22.639238
19.0,19,22.71745
18.0,18,22.792323
33.0,33,22.927611
85.0,85,26.858066
46.0,46,27.07587
79.0,79,27.425488
36.0,36,27.574304
23.0,23,27.668564
18.0,18,27.740219
13.0,13,27.795048
30.0,30,27.92033
14.0,14,27.980358
13.0,13,28.034083
39.0,39,28.197593
32.0,32,28.331188
35.0,35,28.471948
14.0,14,28.528653
20.0,20,28.608387
18.0,18,28.679038
15.0,15,28.741204
84.0,84,29.08194
73.0,73,29.357972
29.0,29,29.468921
29.0,29,29.579225
37.0,37,29.733818
109.0,109,30.227323
51.0,51,33.072039
31.0,31,33.195811
33.0,33,33.332736
17.0,17,33.408533
22.0,22,33.499898
73.0,73,33.807351
19.0,19,33.888317
38.0,38,34.046618
27.0,27,34.15938
48.0,48,34.358969
61.0,61,34.611111
15.0,15,34.674314
32.0,32,34.797749
34.0,34,34.929866
85.0,85,35.258243
49.0,49,35.48116
47.0,47,35.706415
14.0,14,35.762852
64.0,64,36.025997
61.0,61,36.276435
57.0,57,36.520047
18.0,18,36.591123
18.0,18,36.667281
93.0,93,37.05273
15.0,15,37.110182
79.0,79,37.432733
34.0,34,37.566826
27.0,27,37.670758
106.0,106,41.845844
95.0,95,42.233167
95.0,95,42.623229
50.0,50,42.827466
16.0,16,42.891043
25.0,25,42.990558
131.0,131,43.499126
65.0,65,43.750783
39.0,39,43.933379
76.0,76,44.271801
49.0,49,44.473492
13.0,13,44.529832
95.0,95,44.916305
59.0,59,45.165284
25.0,25,45.26469
103.0,103,45.685177
107.0,107,46.101855
14.0,14,46.152977
49.0,49,46.338073
93.0,93,46.735967
71.0,71,47.049304
118.0,118,47.534158
50.0,50,47.739228
30.0,30,47.861717
229.0,229,48.783571
94.0,94,49.140474
96.0,96,49.54632
43.0,43,49.749265
97.0,97,53.851328
80.0,80,54.169302
131.0,131,54.682721
425.0,425,56.48087
123.0,123,56.980077
133.0,133,57.503949
127.0,127,58.038416
123.0,123,58.560468
45.0,45,58.742426
98.0,98,59.144532
115.0,115,59.617761
189.0,189,60.356906
295.0,295,65.449638
98.0,98,69.592203
272.0,272,70.756297
215.0,215,71.61973
134.0,134,72.125218
410.0,410,73.822089
151.0,151,74.426531
328.0,328,75.746639
129.0,129,76.263657
210.0,210,77.098484
187.0,187,81.525311
290.0,290,82.715281
208.0,208,83.507884
109.0,109,84.012876
162.0,162,84.67764
109.0,109,85.133756
168.0,168,85.813681
240.0,240,86.811318
444.0,444,88.581693
500.0,500,94.232332
296.0,296,95.428218
363.0,363,101.955054
220.0,220,102.848614
221.0,221,103.793135
235.0,235,104.774426
233.0,233,105.717861
97.0,97,106.085077
240.0,240,110.766782
445.0,445,112.584534
500.0,500,114.574849
476.0,476,116.577897
500.0,500,118.640348
358.0,358,123.561107
148.0,148,124.164485
247.0,247,125.171179
216.0,216,126.018444
309.0,309,127.309086
130.0,130,127.8196
264.0,264,133.253056
119.0,119,133.740079
359.0,359,138.908445
251.0,251,139.898302
500.0,500,141.97082
376.0,376,143.340557
249.0,249,144.400504
188.0,188,145.157264
500.0,500,150.913942
500.0,500,152.982308
279.0,279,154.123151
162.0,162,154.754974
418.0,418,156.531673
291.0,291,157.695629
500.0,500,163.206319
500.0,500,170.447569
390.0,390,172.058344
355.0,355,173.526541
500.0,500,175.582953
154.0,154,176.204112
215.0,215,180.327693
500.0,500,182.277541
500.0,500,184.219933
500.0,500,186.158733
500.0,500,191.790263
500.0,500,193.788628
500.0,500,195.77398
500.0,500,202.780453
500.0,500,208.4117
500.0,500,210.486188
500.0,500,212.536832
500.0,500,214.561095
500.0,500,220.418879
500.0,500,222.45158
500.0,500,224.559204
500.0,500,226.595735
500.0,500,232.082858
500.0,500,239.167047
500.0,500,241.222828
500.0,500,243.243882
500.0,500,245.278643
500.0,500,251.002899
500.0,500,253.095176
500.0,500,255.156319
500.0,500,257.169078
500.0,500,262.962913
500.0,500,265.021308
500.0,500,272.14637
500.0,500,274.145677
500.0,500,279.727309
500.0,500,281.790642
500.0,500,283.80175
500.0,500,285.845434
500.0,500,291.606435
500.0,500,293.614336
500.0,500,295.669185
500.0,500,297.706924
500.0,500,308.206244
500.0,500,310.306979
500.0,500,312.386815
500.0,500,314.406468
500.0,500,320.154014
500.0,500,322.175023
500.0,500,324.295372
500.0,500,326.339281
500.0,500,331.901068
500.0,500,333.863995
500.0,500,340.971486
500.0,500,343.006723
500.0,500,348.564752
500.0,500,350.530773
500.0,500,352.580157
500.0,500,354.58393
500.0,500,360.344737
500.0,500,362.319962
500.0,500,364.344735
500.0,500,366.378568
500.0,500,376.843989
500.0,500,378.858633
500.0,500,380.948767
500.0,500,382.994196
500.0,500,384.942177
500.0,500,390.350722
500.0,500,392.396792
500.0,500,394.43286
500.0,500,396.466776
500.0,500,402.213231
500.0,500,409.209829
500.0,500,411.244172
500.0,500,413.200477
500.0,500,419.000372
500.0,500,421.076605
500.0,500,423.141863
500.0,500,425.201433
500.0,500,431.032553
500.0,500,433.00504
500.0,500,435.031797
500.0,500,442.242037
500.0,500,447.960312
500.0,500,449.972334
500.0,500,452.054888
500.0,500,454.08899
500.0,500,459.942063
500.0,500,461.984868
500.0,500,464.017241
500.0,500,466.083105
500.0,500,471.893439
500.0,500,479.095377
500.0,500,481.154749
500.0,500,483.277406
500.0,500,488.765101
500.0,500,490.809708
500.0,500,492.851867
500.0,500,494.933769
500.0,500,500.330459
500.0,500,502.389627
500.0,500,504.389887
500.0,500,511.689644
500.0,500,517.299777
500.0,500,519.321239
500.0,500,521.294974
500.0,500,523.267611
500.0,500,525.233929
500.0,500,530.800691
500.0,500,532.792843
500.0,500,534.779458
500.0,500,536.732406
500.0,500,547.213772
500.0,500,549.314849
500.0,500,551.413319
500.0,500,553.445801
500.0,500,559.137213
500.0,500,561.13562
500.0,500,563.227315
500.0,500,565.275721
500.0,500,570.736693
500.0,500,572.762357
500.0,500,579.839948
500.0,500,581.885871
500.0,500,587.556224
500.0,500,589.571513
500.0,500,591.669533
500.0,500,593.726046
500.0,500,599.191176
500.0,500,601.252656
500.0,500,603.287559
500.0,500,605.376484
500.0,500,615.991147
500.0,500,618.011059
500.0,500,620.131047
500.0,500,622.199047
500.0,500,627.809613
500.0,500,629.8374
500.0,500,631.862699
500.0,500,633.939027
500.0,500,639.769226
500.0,500,641.802831
500.0,500,649.011224
500.0,500,651.092415
500.0,500,656.892153
500.0,500,658.931104
500.0,500,660.95213
500.0,500,663.051055
500.0,500,668.910891
500.0,500,670.967972
500.0,500,673.010955
500.0,500,675.009691
500.0,500,682.316761
500.0,500,688.175137
500.0,500,690.239118
500.0,500,692.252873
500.0,500,694.35252
500.0,500,700.106218
500.0,500,702.057656
500.0,500,704.099634
500.0,500,706.136856
500.0,500,711.794169
500.0,500,718.998221
500.0,500,721.07443
500.0,500,723.107964
500.0,500,728.628582
500.0,500,730.705123
500.0,500,732.758748
500.0,500,734.762113
500.0,500,740.374729
500.0,500,742.457416
500.0,500,744.496648
500.0,500,751.633129
500.0,500,757.377868
500.0,500,759.481041
500.0,500,761.544026
500.0,500,763.608886
500.0,500,769.076645
500.0,500,771.103532
500.0,500,773.196399
500.0,500,775.24104
500.0,500,780.66391
500.0,500,787.671638
500.0,500,789.76086
500.0,500,791.828296
500.0,500,797.04663
500.0,500,799.118788
500.0,500,801.151645
500.0,500,803.170564
500.0,500,808.789441
500.0,500,810.772527
500.0,500,812.794141
500.0,500,819.905424
500.0,500,821.963223
500.0,500,827.524578
500.0,500,829.585363
500.0,500,831.656693
500.0,500,833.660447
500.0,500,839.301443
500.0,500,841.429215
500.0,500,843.515161
500.0,500,845.54964
500.0,500,856.130937
500.0,500,858.249186
500.0,500,860.345111
500.0,500,862.365884
500.0,500,867.559293
500.0,500,869.493497
500.0,500,871.439435
500.0,500,873.383198
500.0,500,878.649059
500.0,500,880.623374
500.0,500,887.598086
500.0,500,889.601853
500.0,500,895.186285
500.0,500,897.228408
500.0,500,899.234021
500.0,500,901.324481
500.0,500,906.87818
500.0,500,908.933538
500.0,500,911.012657
500.0,500,912.965466
500.0,500,923.455388
500.0,500,925.509394
500.0,500,927.528161
500.0,500,929.563201
500.0,500,935.191548
500.0,500,937.212658
500.0,500,939.194416
500.0,500,941.270643
500.0,500,946.995537
500.0,500,949.048432
500.0,500,956.098508
500.0,500,958.206566
500.0,500,963.711882
500.0,500,965.750752
500.0,500,967.528754
500.0,500,969.19786
500.0,500,970.816817
500.0,500,975.463711
500.0,500,977.082069
500.0,500,978.717872
500.0,500,984.444973
500.0,500,989.306187
500.0,500,990.957299
500.0,500,992.570867
500.0,500,994.240592
500.0,500,998.937488
500.0,500,1000.589694
500.0,500,1002.202751
500.0,500,1003.898582
500.0,500,1008.440851
500.0,500,1014.209782
500.0,500,1015.886063
500.0,500,1017.513547
500.0,500,1022.323589
500.0,500,1024.017363
500.0,500,1025.670655
500.0,500,1027.271053
500.0,500,1032.006175
500.0,500,1033.678491
500.0,500,1035.335665
500.0,500,1041.120841
500.0,500,1045.948792
500.0,500,1047.564492
500.0,500,1049.17756
500.0,500,1050.813144
500.0,500,1055.622131
500.0,500,1057.188444
500.0,500,1058.860437
500.0,500,1060.489096
500.0,500,1065.247803
500.0,500,1071.027429
500.0,500,1072.690531
500.0,500,1074.324332
500.0,500,1079.135149
500.0,500,1080.787409
500.0,500,1082.404449
500.0,500,1084.012096
500.0,500,1085.648455
500.0,500,1090.1806
500.0,500,1091.785711
500.0,500,1097.250741
