#{"t_start": 1756072246.921201, "env_id": "None"}
r,l,t
103.48642,21,3.276115
76.76172,16,3.301875
76.655876,16,3.808136
76.348206,16,4.047371
86.514496,18,4.216246
81.54725,17,4.615499
162.01398,33,4.976886
81.15271,17,5.205813
76.195404,16,5.732296
167.42456,36,6.508118
166.42072,32,7.162662
134.56996,29,7.921677
89.28405,19,8.178766
267.83624,58,8.91625
104.801956,22,9.204286
98.757065,20,9.441786
76.81995,16,9.9766
107.46346,22,10.403053
98.0594,20,10.772457
81.43711,17,10.968863
76.28465,16,10.986058
108.85329,23,11.432115
94.281296,19,11.640311
115.32021,26,12.040106
199.6842,39,12.391757
152.37906,31,12.723427
98.384125,20,12.975793
98.26385,20,13.171813
97.12485,20,13.509787
118.80734,24,13.855955
86.91071,18,14.178173
116.39605,23,14.436917
130.5807,29,15.204685
115.65383,24,15.510411
111.89908,23,15.62484
98.57483,20,15.708868
80.079384,17,16.203833
153.59637,31,16.854602
86.267975,18,17.12038
99.313034,20,17.474079
217.98799,44,18.72223
100.53762,21,19.011358
166.9713,32,19.445832
91.86171,19,19.962709
152.01456,31,20.623504
103.90018,21,21.149126
71.871704,15,21.605294
86.56352,18,21.941498
108.16507,22,22.300882
91.7885,19,22.725904
86.94833,19,23.118285
76.465225,16,23.155504
148.91121,31,23.793552
144.50293,29,23.922884
81.06312,17,24.281462
173.95438,37,24.784379
81.332,17,25.191838
108.65764,22,25.471848
86.45656,18,25.639046
81.21779,17,25.841509
98.47336,20,26.064962
159.8221,33,26.297827
86.593155,18,26.571515
87.823616,18,26.987236
80.29505,17,27.419244
76.46744,16,27.630241
71.663185,15,27.670023
133.21445,28,28.082097
161.27441,33,28.504987
81.24262,17,28.822605
107.64206,22,29.133014
120.13006,24,29.404811
82.15324,17,29.684609
114.52081,23,30.071006
121.75919,25,30.403405
126.28062,25,30.697138
107.63106,23,31.262341
87.865616,18,31.297732
148.65608,30,31.591056
122.26384,25,31.849274
108.73947,24,32.124634
81.26012,17,32.447382
117.64358,25,32.618819
130.04202,25,32.947162
191.9151,39,33.410384
129.39587,27,33.715275
88.09404,18,34.032711
86.385735,18,34.413911
124.30344,28,34.739735
112.687584,23,34.968674
200.92792,44,35.823169
94.6223,21,36.320727
80.84588,17,36.379831
107.246635,23,36.917282
99.53613,20,37.167671
88.91263,19,37.707146
209.66423,45,38.368829
90.27987,19,38.531035
99.37497,22,38.641179
81.118286,17,38.841221
264.38806,54,39.310468
81.157,17,39.496262
92.04164,19,39.617247
92.35734,19,39.785635
81.07249,17,39.964743
85.74164,18,40.165761
144.19218,30,40.36815
204.67348,41,40.817724
85.98568,18,41.007317
81.31755,17,41.340721
152.01349,31,41.771463
198.53226,38,42.120335
91.34995,19,42.173115
133.91623,30,42.313387
109.27427,23,42.445348
141.8846,30,42.659764
146.531,30,42.774651
126.24626,27,42.959023
171.0412,40,43.34829
96.05954,20,43.615383
124.45683,25,43.82946
135.69214,29,44.114241
76.51663,16,44.456066
106.398766,22,44.772845
166.21326,32,45.088044
162.75194,35,45.687819
81.0281,17,45.722604
102.30879,21,45.821981
123.66167,27,46.338859
127.608734,27,46.562259
167.14674,35,47.084098
177.39375,37,47.603006
154.14915,32,47.929063
120.40944,24,48.331993
86.85529,18,48.370316
217.09483,45,48.746877
134.90245,29,49.1182
80.9131,17,49.268294
123.40949,26,49.525783
153.73796,32,49.919411
90.506584,19,50.0035
109.09458,22,50.304116
81.01934,17,50.626432
98.381996,20,50.728899
156.32156,31,50.815245
81.47336,17,50.920758
91.300735,19,51.053569
196.62273,39,51.395819
106.98865,24,51.532296
92.265854,19,51.742344
128.19527,25,52.169786
81.34862,17,52.213251
88.162766,18,52.367023
76.27886,16,52.634176
91.021645,19,52.782938
127.07842,27,52.834709
76.45239,16,52.929354
104.83188,22,53.060904
164.09811,35,53.585284
99.42902,20,53.895823
141.95491,30,54.512809
124.33095,28,54.842716
163.51459,34,55.133364
99.57826,21,55.308191
131.28542,27,55.352484
148.97536,32,55.522011
88.218124,18,55.658832
141.68619,30,55.856531
140.95236,30,56.624178
93.81866,20,56.944782
169.91486,37,57.180662
202.06897,42,57.720859
81.002625,17,58.088295
155.3831,32,58.634801
159.29407,34,58.777197
140.2007,29,59.035404
154.49199,32,59.351303
81.01499,17,59.591604
76.30518,16,59.637336
106.98952,22,59.797137
135.48335,28,60.12687
154.7122,33,60.388232
120.632,25,61.080203
143.88113,31,61.409279
188.83809,42,62.199199
82.25688,17,62.407406
161.75957,36,63.262789
142.21599,31,63.738665
151.47574,31,63.82663
102.80505,21,63.926641
144.02673,29,64.308743
119.34332,25,64.591747
155.92462,32,64.876521
95.9418,20,65.071604
211.41502,45,65.903919
83.72111,18,66.157926
75.88446,16,66.192182
125.329765,29,66.625022
140.48486,30,66.936258
142.59259,31,67.475735
76.32493,16,67.721142
155.02397,32,67.947153
139.48001,30,68.304616
158.48294,33,68.437756
134.69756,28,68.649064
186.98027,39,68.820165
174.75462,37,69.232348
194.61974,41,69.546094
108.821556,22,69.987097
188.80846,39,70.42542
93.003746,19,70.515456
147.69243,32,70.670351
184.25885,39,71.019231
89.523796,19,71.260161
167.78506,35,71.824175
128.07777,25,71.924752
164.79886,35,72.331252
227.24774,50,72.905185
153.8369,30,73.503365
223.11754,45,73.852219
209.82236,46,74.431486
86.05836,18,74.463269
80.99043,17,74.674746
148.95332,32,74.944032
159.20515,33,75.241403
66.99632,14,75.268547
184.5635,39,75.503614
278.1353,62,75.819134
174.16086,37,76.742089
128.70622,26,77.098592
100.93585,21,77.480787
71.54589,15,77.983094
87.53687,18,78.099197
181.02852,39,78.845315
178.47221,38,79.35788
134.77452,28,79.654382
162.8327,35,80.184096
160.39128,35,80.697158
159.16254,33,81.435693
194.47177,43,82.251343
153.16476,32,82.55462
174.98848,37,83.18114
183.08517,37,83.740697
201.14594,45,84.309446
144.33127,33,84.640478
203.89276,40,85.242063
166.39584,37,85.570672
173.86766,36,85.690647
164.60405,35,85.771356
188.74039,42,86.251493
152.65555,34,86.466349
159.51582,34,86.811767
165.84662,36,87.517869
143.0218,33,87.754367
179.8347,40,88.094102
193.60909,43,88.373741
170.64705,36,88.844385
167.56831,38,89.085053
200.01292,45,89.568605
138.6781,31,90.191832
224.53519,48,90.404059
159.87154,35,90.578387
244.84186,52,90.741024
135.25043,32,90.902839
152.83656,35,91.167492
116.88751,27,91.303538
175.79614,40,91.768767
134.47406,28,92.035978
175.8707,38,92.423145
154.43227,34,92.709364
174.09993,39,93.063108
147.28365,31,93.480187
139.06706,31,93.723193
193.0514,42,94.173212
142.50421,31,94.785762
151.73354,33,95.308389
204.26686,45,95.602346
129.83467,28,95.784474
183.8728,41,96.55071
178.72914,39,97.411725
246.46315,51,98.693825
144.45177,32,98.897161
197.25372,40,99.634645
139.01869,30,100.382857
117.97879,26,100.566328
128.5944,28,100.921246
132.65111,29,101.024466
122.87419,27,101.46089
244.17079,50,101.99512
111.41524,24,102.190009
105.84017,24,102.421719
71.35337,15,102.637149
181.10745,40,103.035164
184.0659,38,103.433339
135.20554,30,103.884349
129.1809,28,104.310278
202.07231,42,104.668159
209.17769,44,104.949805
180.1154,39,105.154454
221.13531,48,105.376447
161.16074,36,105.593469
178.60052,39,105.915794
186.28088,43,106.250746
139.71513,31,106.489393
206.21947,43,106.689619
193.20029,42,106.965301
220.51205,45,107.44015
230.74565,50,107.756922
132.81343,29,107.878573
195.35344,40,108.020749
134.09969,29,108.191746
99.14864,23,108.32951
213.60426,44,108.524298
162.65613,38,108.796519
189.80368,41,108.98916
76.05703,16,109.107805
199.63972,42,109.315792
130.04803,30,109.514072
113.78833,27,109.664858
201.3683,45,109.861802
71.658646,15,109.966129
76.19255,16,110.045923
126.03304,30,110.218176
71.20856,15,110.349874
117.290474,27,110.485063
176.11253,36,110.801703
80.821724,17,110.850609
81.36529,17,110.935076
168.36292,36,111.094585
112.7694,25,111.22697
174.05087,38,111.408629
92.79177,21,111.477539
92.814705,21,111.590986
160.40562,35,111.849668
116.44507,26,112.011969
131.88591,31,112.197259
184.1795,41,112.397653
80.880394,17,112.435261
112.542496,27,112.609648
131.93831,30,112.809255
76.41573,16,113.08304
76.38833,16,113.352167
71.75697,15,113.570128
137.2478,29,113.791773
76.31198,16,113.951093
149.67494,35,114.535572
166.41779,38,114.918027
134.76828,31,115.086196
178.38292,39,115.420731
151.8191,35,115.658872
113.84477,23,115.773835
230.71152,48,116.136782
142.4672,32,116.406909
66.61546,14,116.522706
163.26878,38,116.785342
61.920994,13,116.80581
171.3683,36,117.235381
106.27355,25,117.536631
186.40895,39,118.312114
125.039505,29,118.780579
168.99825,37,119.228869
81.082306,17,119.351401
66.49847,14,119.439736
128.42107,30,119.780977
120.56753,28,120.174445
110.32784,25,120.419879
205.86684,41,120.815537
82.61594,18,120.978949
121.23729,28,121.258272
109.592316,25,121.337605
89.87775,19,121.432023
108.86983,25,121.532885
139.92094,33,121.618399
117.39981,27,121.67972
88.32565,19,121.750627
158.19408,36,121.895611
201.25392,42,121.99897
136.2958,30,122.100139
165.57976,36,122.202535
193.93019,41,122.450191
194.20511,43,122.944289
214.40208,44,123.516267
214.61935,44,124.037034
168.2089,41,124.300436
82.74664,18,124.450922
143.36761,32,124.6243
121.23809,26,124.882969
124.904015,26,124.996727
138.60313,32,125.12437
226.30318,45,125.394219
240.03413,48,125.616094
182.21935,37,125.729103
228.75974,51,125.906347
162.78647,34,125.966068
297.78537,56,126.15837
211.35818,44,126.306559
209.82521,46,126.65599
216.95699,45,126.941005
190.60902,40,127.167033
208.4445,44,127.355345
160.53612,33,127.505401
298.20212,60,128.349141
190.22372,40,128.723264
175.53285,35,128.951007
76.11049,16,129.207559
295.96466,60,130.282577
136.93,28,130.683848
87.80071,18,130.717849
191.9697,39,131.053561
71.55594,15,131.366748
184.62958,38,131.672623
130.31302,28,131.825349
136.36191,28,132.063106
156.32593,34,132.340971
145.72351,33,132.656214
217.00223,48,133.099047
152.56828,35,133.481334
213.28639,49,134.255926
131.75494,27,134.486949
240.17961,49,135.013489
193.11676,40,135.201708
235.99907,48,135.570923
214.59549,41,136.141024
249.81937,51,136.726869
192.96686,42,137.055516
174.18964,37,137.404147
237.12918,49,137.848569
163.32365,34,138.277051
177.78024,37,138.992796
208.17735,43,139.509997
213.63547,44,140.005352
219.6577,44,140.373508
131.69101,27,140.635105
148.86674,31,140.873637
227.475,46,141.232014
144.07475,30,141.530417
80.876236,17,141.75851
119.88323,24,142.021657
139.2413,28,142.220604
181.01335,37,142.666156
135.78835,27,142.942859
244.25586,51,143.485502
206.95123,42,143.798448
113.61944,23,143.995682
174.98344,36,144.334496
286.22217,55,144.872069
122.56904,25,145.00439
126.38859,25,145.132317
160.7202,34,145.546669
116.744896,24,145.791903
140.91403,29,146.163496
120.77082,25,146.298194
151.69447,31,146.477862
239.0363,50,147.02965
166.65517,34,147.191616
168.53268,35,147.334614
129.53207,26,147.453051
145.34589,30,147.575816
87.35008,18,147.613637
129.9459,26,147.661443
156.2213,33,147.856434
151.63881,32,148.10123
159.59488,35,148.355726
152.19496,31,148.618227
140.86253,30,148.848724
142.94093,29,149.258793
143.41795,30,149.569338
249.0729,50,150.060696
156.16954,32,150.343187
113.71729,23,150.621948
132.13116,27,150.805224
281.0047,54,151.535002
195.98877,40,151.869504
124.01854,25,152.019719
190.1852,42,152.252985
141.7178,29,152.580694
133.42514,27,152.783284
139.78282,28,152.897172
99.16884,20,153.269118
139.06276,28,153.670311
145.76556,30,153.817957
138.08922,28,154.270488
146.59204,29,154.372281
125.271935,25,154.559019
76.15207,16,154.762248
143.87402,31,155.176583
114.70297,23,155.498986
147.1467,29,155.857036
267.4222,50,156.268777
124.75881,25,156.397334
140.95734,29,156.48453
178.0459,37,156.777669
138.59572,28,157.128909
224.75429,44,157.29981
115.80964,23,157.35944
154.40451,31,157.730007
197.21892,41,158.086974
137.70273,28,158.278967
106.75234,21,158.495148
211.36006,43,159.088814
189.70259,41,159.577199
143.28775,29,159.988769
162.51051,36,160.504378
247.41402,46,160.801173
129.7033,26,160.993777
180.71947,40,161.284838
97.62351,20,161.40222
219.97672,43,161.702163
192.24445,41,161.802029
148.97765,30,162.065462
178.233,38,162.6867
158.0473,33,162.80035
142.50116,29,162.956376
128.34938,26,163.087644
195.83925,41,163.350912
167.22346,34,163.80222
154.46468,31,164.015357
125.78209,26,164.172988
197.9304,41,164.511399
262.41113,53,165.145073
231.1267,44,165.681605
159.66788,34,165.864153
194.80466,37,166.092404
162.53668,32,166.31976
113.265114,23,166.473678
182.41832,40,166.715034
149.14905,33,166.911256
140.53639,29,167.173414
128.42606,26,167.338395
254.4895,51,167.644704
138.9549,28,167.826242
165.05432,33,167.986972
189.88449,37,168.220038
246.65747,51,168.470109
156.75938,34,168.88508
123.30335,26,169.091267
154.78833,32,169.365471
