#{"t_start": 1756072155.0429883, "env_id": "None"}
r,l,t
81.58556,17,1.78628
81.44054,17,1.869076
156.74362,32,2.047132
86.13021,18,2.119098
97.638626,20,2.203511
76.44084,16,2.27406
82.6733,17,2.349568
76.8925,16,2.424907
81.33239,17,2.498241
190.19652,37,2.661593
76.429504,16,2.733796
126.54789,27,2.85263
147.35365,32,2.986479
152.98448,32,3.132783
159.38199,31,3.310189
119.79043,23,3.457565
93.714,20,3.587939
81.467834,17,3.666269
175.07545,34,3.862203
92.23395,19,3.97202
81.214096,17,4.040742
98.5821,20,4.148003
76.30257,16,4.209588
81.27367,17,4.290637
88.709785,18,4.412426
76.30788,16,4.490615
76.48422,16,4.560385
81.41373,17,4.680936
86.709946,18,4.775025
86.13801,18,4.856651
110.43683,25,4.972378
88.66164,18,5.058667
122.53759,25,5.180561
135.12962,27,5.326936
92.95504,19,5.415325
81.55542,17,5.503814
81.95078,17,5.583107
133.38797,27,5.730522
93.11017,19,5.823349
123.983574,27,5.966985
191.27744,38,6.151531
97.36863,20,6.246441
81.09493,17,6.334126
86.04176,18,6.423266
81.4156,17,6.516215
76.57378,16,6.594707
95.01066,19,6.685867
87.46865,18,6.772823
86.89225,18,6.882401
135.97208,27,7.013087
111.24241,24,7.108158
81.11112,17,7.18259
81.21978,17,7.251718
86.01036,18,7.338869
117.1087,23,7.45849
148.70287,33,7.626248
130.52032,26,7.73125
86.142456,18,7.805138
121.394844,24,7.90801
164.029,35,8.062301
107.32443,22,8.162955
86.92028,18,8.248034
112.09231,23,8.351202
85.68776,18,8.417678
111.39885,23,8.496466
81.21029,17,8.542243
89.34068,19,8.60866
81.26465,17,8.685601
147.41617,29,8.796095
81.48915,17,8.877289
87.2885,18,8.95294
112.99761,23,9.065253
76.59976,16,9.125734
81.45446,17,9.188065
107.4869,22,9.285465
87.508415,18,9.361978
81.61375,17,9.40742
86.42262,18,9.512923
76.533165,16,9.575577
81.28599,17,9.636024
99.54778,20,9.720574
120.187,26,9.831272
76.60024,16,9.871144
76.33012,16,9.923682
101.2194,21,10.015539
102.78262,22,10.120075
138.05327,28,10.232364
88.250404,18,10.296177
152.67056,30,10.437363
128.94348,27,10.58306
99.18322,20,10.677719
98.08643,22,10.820302
81.38113,17,10.908421
147.6154,29,11.061107
76.5013,16,11.138169
76.727745,16,11.206431
97.11014,20,11.294577
76.33264,16,11.401382
86.65914,18,11.487616
81.48443,17,11.570602
157.29973,33,11.727788
127.88857,25,11.858869
81.04078,17,11.934811
76.296104,16,11.98761
81.55154,17,12.062861
81.25094,17,12.143707
112.31369,23,12.266469
86.16598,18,12.36376
81.29549,17,12.443415
184.25726,39,12.616638
81.08246,17,12.690059
81.33614,17,12.771554
93.384895,19,12.903556
85.84542,18,13.006932
81.15721,17,13.096356
102.12735,21,13.188954
82.10532,17,13.251099
81.48075,17,13.348234
76.44219,16,13.413692
91.71156,19,13.501271
96.11379,20,13.616545
76.62175,16,13.68885
123.368996,25,13.813054
123.29671,26,13.933876
76.8028,16,14.022031
87.32545,18,14.118479
157.06944,35,14.302694
82.14242,17,14.424963
153.7007,32,14.555852
91.31321,19,14.637866
81.61463,17,14.711183
99.33297,21,14.792569
208.95537,43,14.983215
76.66701,16,15.051571
148.78726,30,15.186299
192.39595,39,15.390977
100.59838,20,15.477709
98.09607,20,15.583629
146.2517,32,15.714937
100.92072,23,15.83803
81.40544,17,15.893435
