#{"t_start": 1756072367.6001024, "env_id": "None"}
r,l,t
106.684326,21,3.204623
101.54748,20,3.229625
83.63712,17,3.261605
83.38073,17,3.295845
120.43714,24,3.3403
83.31141,17,5.011157
110.374565,22,5.739286
78.360664,16,6.338223
155.65639,32,7.09876
106.30044,21,7.735978
131.21562,26,8.528791
96.19684,19,9.135373
160.11256,31,10.002105
95.000725,19,10.570275
88.5719,18,11.262439
167.97441,32,12.356489
94.99004,19,12.957125
89.926735,18,13.67951
124.16902,26,14.380901
83.78621,17,14.989736
118.06038,25,15.777226
78.01007,16,16.242088
117.009636,23,17.141047
83.24185,17,17.769824
148.25125,29,18.798136
87.827515,18,19.596265
115.86048,24,20.514796
95.30018,19,21.068376
78.46164,16,21.675591
100.62346,20,22.580265
87.72108,18,23.286141
78.34582,16,23.767311
83.424965,17,24.261006
77.65893,16,24.766096
82.86727,17,25.273798
83.633125,17,25.643523
83.455536,17,26.153414
83.37877,17,26.56283
84.31967,18,27.113307
103.269424,21,27.791485
94.51913,20,28.431373
88.580444,18,29.030817
86.99978,18,29.600831
93.411514,20,30.283279
101.09294,23,31.062646
88.02076,18,31.711627
83.338806,17,32.394979
83.23474,17,33.069455
87.40117,18,33.594278
92.239456,20,34.365835
96.2041,20,34.8644
119.39364,26,35.364718
121.8579,24,36.112195
173.94025,35,37.296101
127.22006,27,38.024545
137.66809,31,39.097073
160.73758,34,40.196936
178.62506,38,41.317144
332.86902,67,43.395349
283.41266,56,44.822717
244.55376,48,46.25759
214.71039,40,47.703059
280.3509,51,49.171929
247.55884,46,50.550527
245.7429,45,52.196104
273.2618,50,54.007691
269.88882,49,55.453266
281.79218,52,56.588183
294.99463,54,58.202628
312.9152,57,59.980287
342.43512,65,62.02494
326.2218,64,64.134522
342.05127,72,66.664496
278.696,53,68.412497
301.58536,62,70.479139
375.1336,74,73.053111
349.47214,64,75.27205
340.5759,63,77.125242
455.02792,85,79.488056
364.93256,79,81.540996
301.48703,59,83.631541
315.20245,60,85.580525
371.34903,74,87.742458
459.12802,86,90.177054
604.01697,119,94.761254
272.06705,51,96.029304
402.84775,87,98.265571
287.00305,53,100.214574
306.77298,65,102.708736
315.42175,58,104.790942
293.73352,54,106.631289
329.38354,62,108.913164
316.8677,58,110.60814
302.45178,56,112.217306
291.21756,55,114.083239
246.86534,46,115.798393
369.17258,68,118.113233
291.80884,56,120.106025
300.47583,55,122.078923
396.87338,77,124.627534
135.38036,29,125.690857
508.09668,99,128.696236
355.93192,67,131.009694
309.2121,57,132.397691
359.88617,65,134.540203
312.57083,58,136.242986
249.82405,47,137.711873
285.6415,52,139.593322
324.9649,60,141.484151
276.154,52,143.067127
274.6594,53,144.894925
308.2627,58,147.115599
283.3166,51,148.917794
371.7938,71,151.193701
307.93643,57,152.834805
301.34286,59,154.342126
296.46088,56,156.148186
308.79477,59,158.38834
302.22632,57,160.284594
317.39313,58,161.717842
306.31705,57,163.163857
344.68204,64,165.005035
277.53964,51,166.806513
342.0,62,168.585657
304.962,55,169.804749
253.91948,47,171.363822
466.91742,85,173.837014
334.06686,63,175.87169
384.44595,79,177.968604
263.02628,53,179.362845
361.38818,69,181.750533
270.7968,57,183.01939
315.97675,63,185.14133
335.9606,63,187.266562
368.486,77,190.015388
345.5478,68,192.585302
347.86856,66,194.57846
437.9214,88,197.53412
316.88403,59,199.374669
386.0526,75,201.899143
284.49228,56,203.253678
466.606,91,205.92548
275.17026,58,207.84981
374.26288,72,210.488895
407.7088,78,213.399425
322.59778,64,215.83907
403.565,78,218.717644
368.278,68,221.031595
363.0947,69,223.19962
360.12088,69,225.045371
396.88498,75,226.657856
340.01736,64,228.953837
304.40784,66,231.451859
338.01117,69,233.864395
260.2238,49,235.398603
358.87683,68,236.908898
497.16312,94,239.681713
361.70282,69,241.995209
357.81992,69,244.222377
397.99432,75,246.819519
299.45258,60,248.747413
402.1701,74,250.955086
408.3188,76,253.046418
428.49655,80,255.865233
388.25925,73,258.726206
344.61197,65,261.540217
350.07727,70,263.380175
362.39072,70,265.499335
186.99736,38,266.84007
380.47656,73,268.897566
404.49402,78,271.397068
503.18317,98,274.072536
315.8083,59,276.013242
366.74786,70,278.524065
419.67154,89,281.297941
425.6322,86,284.484873
287.89835,54,286.264291
243.9554,47,287.382085
325.40024,63,289.369328
400.8612,76,291.765692
428.526,88,294.756042
169.28668,34,295.931704
400.1835,75,298.963272
295.31808,65,301.386552
412.00674,79,304.178858
443.83893,97,306.873048
245.05725,53,308.491662
266.37323,61,309.985793
280.59665,56,312.063175
344.16385,78,315.084939
299.5207,64,316.661206
367.16318,82,319.619114
496.44318,93,322.147024
399.15616,89,324.940055
318.25504,73,327.688017
373.35706,83,330.645744
332.87845,75,332.839153
320.04126,74,335.293152
410.63434,75,338.010307
286.2334,66,340.052136
295.32318,58,341.976963
419.66888,92,344.73924
422.00742,81,346.962893
331.73782,73,348.779267
375.4788,85,350.985735
252.17162,52,352.363033
538.16644,104,355.601805
391.6329,77,357.996032
410.43027,78,360.285645
471.64792,91,363.40283
423.09814,81,365.698023
408.6432,85,368.443622
326.48566,62,370.704545
328.49518,63,372.395185
380.00836,73,374.302767
356.07385,66,376.033527
335.55505,63,377.85981
255.67543,48,379.61841
288.80948,54,381.576658
529.72406,100,384.490007
402.48355,75,386.665505
301.69476,58,388.464589
514.12476,107,391.517033
276.52463,52,393.065152
335.8725,61,394.802181
359.3379,65,396.413221
345.98074,66,398.913677
369.44565,69,401.153727
473.69382,94,403.803467
471.9877,92,406.917177
474.71658,92,410.529423
390.48532,81,413.340975
438.71762,88,415.7966
435.61258,82,418.002348
369.14972,69,420.460686
415.7794,78,423.22968
364.14838,67,425.436285
397.3556,85,428.458309
334.3058,62,430.89299
526.82874,104,434.804375
289.84772,63,436.736055
344.6438,71,438.695848
267.707,61,440.946814
306.4256,71,442.919485
299.31393,63,444.652329
503.28268,97,447.035825
625.1146,121,450.397491
281.35556,54,451.806591
336.0856,65,454.215759
328.4768,71,456.605031
373.17773,70,459.307851
354.1743,71,462.108127
469.29718,88,465.705201
382.79816,71,468.128382
249.89282,50,469.355373
192.0332,38,470.825036
503.1839,109,475.126127
329.2744,62,477.484404
435.25012,86,480.872308
318.44406,61,482.971334
443.2164,82,485.803246
374.81445,71,487.756361
288.47745,56,489.705442
428.9293,95,493.095204
501.833,94,496.360409
449.06766,88,498.786416
523.5619,99,502.145156
285.7234,57,504.404521
372.7907,75,507.409292
421.16898,90,509.887201
493.92712,91,512.663184
390.65634,71,515.004336
427.73395,80,517.907918
453.9403,90,520.587195
267.3644,50,522.272949
280.35425,52,524.109662
426.99063,78,526.503535
405.669,75,528.217297
318.8518,59,529.956774
344.658,66,532.153081
498.73044,92,535.165237
465.91675,88,538.443355
536.46906,99,541.800834
281.93625,60,543.63193
346.65036,74,546.022744
218.22467,46,547.386955
357.99564,77,550.274591
337.63364,74,552.253807
398.45734,91,555.333711
353.0031,76,558.27319
321.8717,70,560.663556
500.06906,109,564.170037
412.97455,79,566.704678
361.54227,70,568.852771
238.3874,45,570.5651
350.53992,80,573.271855
403.41608,76,575.589583
350.27228,64,577.445387
345.82956,64,579.538538
308.33487,57,581.360249
415.0404,76,584.435556
350.7089,65,586.25773
334.95233,64,588.273385
589.1894,118,592.222171
299.05667,55,593.429221
548.84204,102,596.624443
321.9188,60,598.592298
311.10056,60,600.92223
298.75122,59,603.020442
406.9992,77,605.429513
404.42953,79,608.230729
364.3445,68,610.828882
307.78116,59,613.051255
323.08908,63,615.092661
418.1396,80,617.873338
387.26672,76,620.241316
354.7105,67,622.244043
355.61755,69,624.189227
312.81985,60,626.414276
508.03406,102,630.050329
398.11905,75,632.153295
383.05792,74,634.567457
296.5769,60,636.499884
388.05203,84,638.926511
369.97208,79,642.035055
434.66867,81,644.420207
345.96448,67,646.715564
494.87524,103,650.458045
481.4624,94,653.460151
506.94583,106,657.577026
425.26248,92,660.809974
417.63376,93,664.095682
291.00632,65,666.13515
347.99402,79,668.505695
315.91513,69,670.831389
637.1091,124,674.594941
718.4372,138,680.013932
455.83002,87,682.780145
711.50555,136,687.096132
317.2217,68,689.287996
563.486,122,693.013791
390.43555,72,695.578393
390.3687,73,698.158656
379.33395,78,700.975702
390.31177,82,703.772928
277.39557,57,705.945371
397.7205,75,708.725983
304.6652,60,710.852047
384.21103,72,713.683549
384.01428,71,716.168734
397.4182,79,719.277711
252.02734,48,720.679713
394.33765,76,722.679813
361.48572,69,725.415251
374.50458,73,728.227879
362.23386,79,730.840273
460.15915,98,734.366775
433.4245,80,737.437432
348.0964,66,739.98509
389.70654,78,742.676192
345.56952,63,745.083017
434.81705,96,748.774783
319.50378,69,751.048403
448.38644,85,754.210436
486.40567,91,757.585026
729.57825,142,762.727454
385.3258,70,765.214164
573.8788,121,769.142496
634.3464,122,773.177334
375.05826,80,775.275645
325.99435,65,777.188793
427.0723,81,779.318732
374.33972,80,781.90133
315.5173,59,784.08527
435.3091,92,786.560649
330.23077,68,789.209085
364.2642,72,791.62187
320.24286,69,793.813921
315.81488,59,795.793683
396.58447,90,798.943869
551.94775,120,802.787772
398.8353,73,805.539852
390.09192,71,808.270236
406.31845,75,810.836282
373.3173,69,812.858554
386.37317,71,815.658511
412.07388,86,819.360342
357.3693,70,821.852445
338.27838,63,824.2682
359.35403,66,826.457542
400.83472,77,829.534397
325.53162,61,831.215817
392.6497,74,832.993568
419.83673,83,835.296658
366.18494,70,837.265395
347.01755,69,839.331071
462.92892,89,842.076667
543.5966,106,846.236458
467.25452,90,849.12728
341.0492,66,851.551039
327.737,61,853.558974
334.33374,62,855.906163
