#{"t_start": 1756072428.2389514, "env_id": "None"}
r,l,t
106.684326,21,2.34318
101.54748,20,2.37216
83.63712,17,2.39077
83.38073,17,2.419418
120.43714,24,2.474624
205.18669,45,3.728304
71.18923,15,4.023794
70.98466,15,4.301673
70.88887,15,4.534141
70.953354,15,4.913135
70.94131,15,5.18546
70.92097,15,5.486029
70.707825,15,5.697679
70.91968,15,6.023552
71.013954,15,6.359247
70.837524,15,6.570536
71.024185,15,6.967934
71.0911,15,7.274449
70.96826,15,7.699003
71.04146,15,8.06698
70.7974,15,8.37792
70.64052,15,8.686393
70.668945,15,8.992755
70.866264,15,9.301863
71.031746,15,9.555052
70.79354,15,9.846186
70.853874,15,10.292266
71.0431,15,10.62638
70.94766,15,10.945278
70.82705,15,11.21094
70.77522,15,11.466417
70.87763,15,11.870152
70.971924,15,12.318411
70.86095,15,12.697294
70.920944,15,13.025707
71.180695,15,13.400832
70.889946,15,13.634479
70.95738,15,13.915267
70.905815,15,14.234943
71.065506,15,14.51925
70.9028,15,14.884134
71.06914,15,15.14987
70.682594,15,15.46859
70.66275,15,15.713996
70.78614,15,15.952196
71.004486,15,16.11336
71.019005,15,16.296031
70.9291,15,16.467137
70.91771,15,16.662887
71.137794,15,16.853501
70.68316,15,17.066637
70.93639,15,17.323156
70.81758,15,17.523797
70.98539,15,17.686851
70.77589,15,17.858458
70.945366,15,18.070861
71.00538,15,18.275274
66.184395,14,18.478621
66.36578,14,18.699079
66.29294,14,18.911077
61.499523,13,19.083904
70.92188,15,19.274863
70.780014,15,19.478294
249.78702,61,20.255593
244.46658,58,21.141037
135.41347,32,21.797571
133.93387,28,22.305069
132.84308,28,22.832047
132.90393,28,23.365023
133.53082,28,23.965832
134.03818,28,24.470346
135.01747,28,24.940299
133.37022,28,25.3413
136.19336,29,25.738854
78.36337,18,25.967164
78.88589,18,26.335414
79.23167,18,26.572515
86.07318,20,26.838661
78.86003,18,27.120825
75.74675,17,27.441478
82.25825,19,27.740498
82.43015,19,27.974909
78.78419,18,28.195524
82.038574,19,28.434113
82.362915,19,28.657926
82.627914,19,28.904408
82.69967,19,29.246931
81.62733,19,29.583098
82.12605,19,30.03315
78.502304,18,30.376531
78.85104,18,30.688835
79.790344,18,30.988859
78.90492,18,31.313063
82.36251,19,31.630764
82.033134,19,32.024473
82.49776,19,32.29307
78.79827,18,32.55518
82.191475,19,32.941059
78.420685,18,33.31161
79.11494,18,33.672069
79.05439,18,34.042667
82.245705,19,34.412858
82.304665,19,34.720723
81.994225,19,35.158464
82.544525,19,35.476458
78.8119,18,35.743853
81.83944,19,36.159549
75.881744,17,36.618709
82.51901,19,36.998424
82.1138,19,37.282015
78.27583,18,37.530888
78.90078,18,37.910022
82.815926,19,38.298978
75.85807,17,38.577416
70.79199,15,38.755818
70.73745,15,38.944173
71.134415,15,39.217054
71.0703,15,39.484257
70.97905,15,39.666673
70.924965,15,39.905353
70.78489,15,40.127798
71.01794,15,40.317663
71.02674,15,40.475505
70.99908,15,40.664582
71.16036,15,40.849216
71.16363,15,41.129136
70.84473,15,41.415185
71.03037,15,41.708867
70.97066,15,42.006987
70.855,15,42.235701
70.917656,15,42.503767
70.90794,15,42.787726
71.0436,15,43.085059
71.23819,15,43.392942
66.04412,14,43.681787
70.97961,15,43.987589
71.14208,15,44.212865
70.85665,15,44.396141
71.172104,15,44.58247
70.79955,15,44.820764
70.94049,15,45.132754
70.70718,15,45.360054
70.90086,15,45.739021
70.95448,15,46.065289
70.779564,15,46.345213
71.20745,15,46.567271
70.790474,15,46.822283
70.74522,15,47.041414
70.835785,15,47.252086
70.826836,15,47.511186
71.07246,15,47.912355
70.88262,15,48.275788
70.84715,15,48.623989
70.868286,15,48.962404
66.230286,14,49.273686
71.021164,15,49.556277
66.42148,14,49.812346
66.23941,14,50.013823
66.177086,14,50.224439
66.34605,14,50.413672
66.33333,14,50.598043
66.25278,14,50.962856
66.3871,14,51.274254
66.372215,14,51.608106
70.881996,15,51.925649
66.162476,14,52.172629
66.26464,14,52.553393
66.22315,14,52.807072
66.32662,14,53.018271
66.20574,14,53.244695
66.05551,14,53.572986
66.16239,14,53.891424
66.16399,14,54.237179
66.16077,14,54.555321
70.98392,15,54.820191
70.88947,15,54.99167
70.90573,15,55.300731
70.867035,15,55.487325
71.03299,15,55.725472
70.876434,15,56.065391
71.114685,15,56.332153
71.12133,15,56.523213
70.81789,15,56.764555
71.067276,15,57.047514
66.04936,14,57.284343
70.99217,15,57.665388
70.82254,15,57.96171
70.81438,15,58.281014
71.11599,15,58.59182
70.677956,15,58.836486
70.79579,15,58.989824
70.939766,15,59.236947
70.994865,15,59.547267
71.12118,15,59.75558
70.81466,15,59.938088
