#{"t_start": 1756069977.9983716, "env_id": "None"}
r,l,t
-521.8318,106,1.372265
-511.78867,87,1.496062
-273.21854,116,1.679189
-252.38719,154,1.915216
-109.44661,94,2.064623
-69.85777,90,2.195286
-25.903275,412,2.85529
-470.39957,206,3.141649
-386.3804,180,3.401497
-314.02176,242,3.755529
-575.9075,127,3.954324
-398.69644,105,4.097034
-528.68665,102,4.246486
-323.69153,98,4.389052
-488.96967,114,4.547286
-535.53174,112,4.717054
-429.5181,68,4.813365
-600.8485,116,5.00256
-614.4459,140,5.197191
-426.6972,168,5.427784
-668.5686,127,5.599732
-267.92654,120,5.772459
-332.43756,95,5.90405
-285.89246,105,6.120516
-510.0903,182,6.384321
-372.06647,193,6.679875
-132.75662,182,6.971394
-501.6131,225,7.352256
-125.25664,1000,9.02953
-142.59917,1000,10.644053
-137.28204,1000,12.150398
-405.788,155,12.370955
-480.7293,1000,13.90005
-141.10912,1000,15.389409
-618.6142,331,15.945472
-152.07954,1000,17.54216
-133.2799,1000,18.978769
-627.9975,146,19.164726
-178.31801,1000,20.557921
-188.18323,1000,21.930512
-132.01108,1000,23.283302
-147.45242,1000,24.765718
-530.9528,232,25.100283
-136.45726,1000,26.573249
-127.14476,1000,27.855265
-133.89651,1000,29.29689
-116.85046,1000,30.634195
-678.05994,150,32.556473
-130.10442,1000,33.973877
-462.8942,212,34.277366
-168.06651,1000,35.716303
-204.50311,1000,37.101654
-154.87479,1000,38.458335
-368.40402,156,38.686342
-69.02955,1000,40.058958
-128.43932,1000,41.480344
-551.2921,212,41.833352
-147.09465,1000,43.501351
-255.3894,492,44.310151
-230.76523,530,45.16645
-194.74072,487,45.938666
-104.321075,1000,47.539329
-105.7505,1000,49.150317
-103.74697,1000,50.647788
-82.87217,1000,51.983424
-65.37605,1000,53.350827
-107.87425,1000,54.785321
-110.47504,1000,56.40704
-168.49736,1000,58.037472
-497.1879,266,58.436697
-220.24188,1000,60.028105
-153.97003,1000,61.658192
-214.38692,1000,63.761857
-153.70007,1000,65.45427
-100.61874,1000,67.01234
-139.98926,1000,68.631447
-293.84546,153,68.898989
-84.51106,1000,70.513809
-92.95367,1000,72.116666
-119.375465,1000,73.889998
-138.08842,1000,75.359687
-162.13028,1000,76.818896
-112.582596,1000,78.503372
-137.81573,1000,80.144858
-123.352325,1000,81.773488
-152.913,1000,83.247212
-134.76074,1000,84.830343
-99.33308,1000,86.429576
-58.2973,1000,88.230936
-129.61252,1000,89.964591
-142.6052,1000,91.496737
-88.59123,1000,92.949533
-125.7537,1000,94.449764
-515.5601,325,94.917532
-108.641655,1000,98.454874
-119.49188,1000,99.997118
-588.93555,276,100.458526
-69.46136,1000,102.002277
-223.12694,150,102.218153
-156.61382,1000,107.318398
-416.0988,204,107.988834
-148.51936,1000,112.286634
-90.779236,1000,116.65707
-124.258995,1000,120.688795
-141.66101,1000,124.16701
-243.81186,1000,126.601071
-569.3637,201,127.028155
-247.5697,1000,130.902441
-160.92094,1000,134.789356
-89.3743,1000,139.939986
-164.89346,1000,142.956405
-89.49075,1000,150.754766
-387.40454,193,151.070868
-115.850525,1000,156.437904
-380.5558,150,156.696984
-379.20068,143,157.462291
-564.9845,178,157.788538
-285.9043,151,158.172254
-114.98584,1000,161.182373
-555.9116,159,161.9093
-151.34848,1000,170.743817
-102.47735,1000,177.178663
-519.2328,161,178.627642
-117.72658,1000,186.501798
-61.890766,1000,192.255423
-89.309074,1000,195.129576
-372.59262,147,195.833984
-20.767174,1000,201.606327
-273.5763,369,202.90404
-72.77707,1000,211.058962
-72.36654,1000,218.029324
-474.00507,158,218.88652
-464.7955,177,220.704876
-84.69904,1000,226.201578
-108.950226,1000,231.502788
-95.68192,1000,234.505902
-139.18738,1000,239.147276
-53.45464,1000,244.416089
-94.75217,1000,252.480047
-135.96983,1000,258.800061
-474.21786,149,259.010693
-71.821785,1000,266.477088
-45.542732,1000,273.503803
-124.13182,1000,276.185072
-297.5962,215,277.063196
-127.40605,1000,280.169882
-250.32529,735,286.065859
-228.72968,426,287.749511
-146.7834,330,289.554241
-595.0071,281,291.924436
-142.83044,310,295.167189
-96.63094,262,295.963709
-102.98113,276,299.284654
-119.05298,328,301.588293
-339.03625,249,303.843771
-109.81151,289,305.247188
-141.66946,440,308.383815
-100.402725,484,309.998976
-180.10907,678,311.831477
-137.78644,392,312.744423
-158.5364,318,313.711345
-530.0815,177,314.303598
-138.51581,391,316.767859
-166.77573,430,319.423974
-58.696526,297,320.022153
-135.54471,389,322.795436
-102.97742,230,324.352602
-144.24472,373,326.548615
-125.26707,408,328.128895
37.208958,1000,334.569983
-137.19403,511,336.252092
-112.25824,209,339.278928
-114.86907,183,340.447951
-160.17603,258,341.588063
-100.835236,217,342.077846
-113.012474,214,344.017438
-141.32008,275,345.173716
-148.45442,283,345.659586
-113.00175,298,346.863036
-133.89139,610,348.103832
-152.33026,476,349.132621
-182.91397,662,350.420905
-79.5646,1000,358.925788
-93.02604,1000,366.210797
-111.4927,1000,371.060892
-209.7258,779,376.658261
-139.77185,476,379.08161
-211.58496,823,384.478382
-125.26077,1000,387.863865
-130.8729,1000,394.069584
-146.4479,1000,398.126623
-143.40004,1000,405.723572
-99.84238,1000,413.797488
-148.84538,1000,417.320191
-170.96858,1000,419.568825
-178.83221,392,420.316355
-234.93889,693,426.879362
-213.63582,444,430.068125
-247.51268,607,432.93404
-115.225624,1000,440.831707
-183.12689,682,445.636161
-87.36349,1000,451.422666
-73.05326,1000,463.221596
-88.61705,1000,467.61378
-176.69402,792,470.330159
-202.18225,819,472.075141
-118.74488,1000,473.762104
-180.76186,631,474.769584
-232.23709,851,476.099757
-184.62079,1000,477.765771
-134.21829,332,478.357424
-184.92831,341,478.855781
-180.21555,377,479.488966
-144.83858,1000,481.076668
-152.31607,1000,482.570967
-145.93333,1000,483.989763
-228.56795,473,486.055091
-154.06812,366,486.524033
-101.067314,1000,487.803941
-134.1532,1000,489.109972
-56.710842,1000,490.442698
-107.3483,1000,491.895201
-37.288937,1000,493.359008
-125.94328,1000,494.911854
-70.11898,1000,496.583246
-123.70555,1000,498.103132
-65.13606,403,498.686412
-140.80495,596,499.591236
-251.48306,888,501.324868
-180.69461,740,502.983051
-22.798685,1000,505.484863
-107.44556,1000,506.926671
-64.173195,1000,508.349455
-154.01505,911,509.756502
-1.3222685,1000,511.116594
99.4521,556,511.868764
131.46391,919,513.156394
50.20001,1000,514.60715
132.97855,663,515.488559
31.890898,1000,518.308733
-49.971874,301,518.832212
-94.64595,326,519.450532
143.11517,685,520.437352
-70.97727,312,520.939765
-6.5150943,1000,522.559015
32.874554,1000,524.028457
170.36096,479,524.977607
38.91638,1000,526.479461
58.508358,1000,527.911381
-81.94078,1000,529.312704
-74.03887,1000,530.660661
76.45328,1000,532.44896
21.49904,1000,533.957519
85.49673,945,535.285992
77.47711,1000,536.679814
25.015463,1000,538.170545
173.98358,570,538.919495
35.10163,1000,540.390306
65.54775,1000,541.807981
109.115425,581,542.778142
101.54929,525,543.505429
131.4914,719,544.528251
186.3965,612,545.699201
187.41467,679,546.786764
90.53619,1000,550.247379
-126.17413,984,551.647875
-6.1876287,1000,553.031886
-77.55424,1000,554.451138
-129.97534,1000,555.792162
-83.14669,1000,557.198356
-104.57068,190,557.452874
-162.83672,353,557.933516
-166.6226,1000,559.255406
-146.77676,1000,560.601838
-107.0334,1000,561.962214
-163.76663,1000,563.443482
-311.10742,646,564.408382
-221.3448,259,564.786304
-244.89719,294,565.203636
-266.49414,503,565.918862
-268.0783,415,566.593066
-270.73315,570,567.43373
-201.39706,1000,568.898616
-141.57387,1000,570.295033
-141.71654,1000,571.72615
-177.96935,1000,573.348607
-244.90685,1000,574.938464
-189.4012,1000,576.493064
-187.99806,1000,578.169872
-190.92914,1000,581.862202
-122.59853,1000,583.282264
-116.41682,1000,584.815357
-109.74333,1000,586.3126
-152.04915,1000,588.048971
-125.97682,1000,589.409655
-109.77829,1000,590.842034
-66.48859,1000,592.200533
-112.85575,1000,593.519266
-128.41476,1000,594.785986
-47.55376,1000,596.420286
-56.018715,1000,597.765586
-19.596498,1000,599.191749
-93.2174,1000,600.743759
-41.177467,1000,602.439066
-52.3681,1000,604.095226
-31.628513,1000,605.723401
-30.520565,1000,607.666203
-40.033104,1000,609.259033
-33.232758,1000,610.852867
-52.837486,1000,614.556468
-85.75461,1000,616.154468
-60.621555,1000,617.843062
-2.2980883,1000,619.35785
-55.567543,1000,620.939991
-71.54733,1000,622.56985
-50.586147,227,622.953443
-73.8699,1000,624.503869
-37.123627,1000,626.002895
-134.2283,494,626.730733
-71.22898,1000,628.204585
-91.39831,1000,629.743032
-128.51086,457,630.370169
-173.59216,728,631.545694
-61.24642,1000,633.157965
-114.34972,1000,634.654752
-150.77579,327,635.125994
-139.392,171,635.360241
-192.67107,156,635.577991
-186.76877,1000,637.009331
-183.11896,608,637.881415
-69.81331,1000,639.4153
-236.01053,1000,640.934139
-159.31555,402,641.646699
-239.28735,411,642.470766
-161.9871,1000,644.129945
-133.1429,255,644.609612
-155.15984,1000,648.828041
-102.974594,1000,652.979186
-149.41347,1000,657.724839
-111.46928,1000,662.929199
-115.31998,1000,666.912243
-111.4549,1000,669.818102
-133.0193,1000,672.472279
-69.38434,1000,677.259605
-86.01673,1000,682.779547
-129.77377,449,685.739743
-152.78577,1000,688.876001
-208.39868,1000,693.23699
-203.97586,1000,695.770765
-246.55748,1000,698.359627
-149.47165,486,701.785189
-269.8164,876,707.015844
-192.28139,1000,711.106737
-272.91498,720,715.015321
-138.12039,391,715.981343
-252.8383,1000,724.607557
-236.45793,1000,730.52594
-111.6381,1000,734.004006
-21.498686,1000,740.490404
-486.47836,266,741.315587
-121.01164,1000,750.135506
-116.13295,1000,757.635432
-145.75406,722,762.273324
-96.65582,1000,766.819782
-63.99271,460,767.866614
-176.19673,1000,772.434307
-139.26941,1000,782.712801
100.22128,696,787.573756
-123.21014,303,790.154593
-69.23465,186,790.705293
-208.00537,1000,798.657158
-323.83188,997,807.187979
-268.0193,163,807.777392
-56.416096,545,809.709674
-245.70802,789,812.589385
-166.42119,1000,819.786351
-40.68349,1000,825.763399
-211.35558,603,829.836507
-217.73544,435,834.095603
-157.83748,567,839.042841
-341.71017,205,839.358572
-152.9488,446,842.897182
-248.6657,268,845.497185
-387.5719,146,846.772851
-272.63568,177,847.48122
-515.97375,180,847.734532
-356.86133,154,850.314192
-845.9389,141,850.798309
-702.3064,86,851.49051
-360.61804,95,851.620034
-647.72406,72,851.71479
-812.0736,131,852.184636
-736.80054,117,852.590183
-595.1587,126,852.775429
-541.17505,117,853.226875
-82.40828,143,853.435912
-508.45474,170,854.240373
-119.43652,246,855.066079
-148.65033,198,855.634378
-542.42145,372,856.702325
-209.0813,375,857.522593
-186.82686,502,860.24246
-210.14673,756,866.35912
-177.0544,239,866.698171
-139.9209,312,869.832813
-139.16013,212,870.986908
-156.83734,682,874.941165
-141.33073,437,876.426284
8.700276,1000,884.053341
-160.51227,189,885.118432
-161.68823,162,885.353268
-170.30663,232,887.056903
-85.14277,183,887.368004
-158.33687,279,888.184032
-101.25474,147,888.916984
-138.84729,286,889.568853
-136.4191,172,890.454279
-143.03906,156,890.732383
-158.58415,359,891.878699
-155.48343,469,893.480548
-137.33913,433,897.480401
-144.22176,259,899.739156
-109.67971,212,901.321969
-16.090874,116,901.602738
-42.54528,194,902.166851
-103.772575,189,904.919097
-65.437035,237,906.784955
-28.421944,197,907.600271
-17.380966,274,910.482674
-49.31237,95,911.077593
-1.9536667,99,911.226586
-48.255116,98,911.368343
21.71495,231,912.500778
-5.582672,288,914.462687
28.972342,1000,922.449966
1.3598022,134,922.63788
-14.831436,164,923.442281
-65.547844,723,928.737887
-69.11751,84,930.274289
-85.9704,87,930.870237
29.153198,138,931.440054
175.0098,454,932.376662
-66.91924,322,933.215429
-153.49744,185,933.558724
-113.39213,282,934.39987
-139.92918,120,934.885667
-132.17166,571,936.270366
-158.5897,224,937.169318
-149.72798,345,938.680315
-152.48837,167,940.729941
-124.64897,152,941.642856
-149.1282,185,942.40582
-161.85516,357,944.547843
-117.080154,202,946.742196
-118.269615,554,949.681724
-98.35432,195,950.309295
-132.0867,361,952.30167
-172.45209,467,954.875844
-123.798546,205,957.268116
-159.29823,254,958.569515
-124.413414,171,960.319969
-174.03976,290,961.656953
-139.44257,259,962.922793
-162.73,300,964.473079
-150.64711,595,966.934394
-149.5706,608,969.295983
-220.4974,608,971.125754
-191.36722,405,973.410454
-121.1226,227,974.527417
-151.99982,790,978.640192
-161.85872,488,980.185233
-140.9435,330,982.965661
-222.9088,969,989.540504
