#{"t_start": 1756069915.6615767, "env_id": "None"}
r,l,t
-140.18695,69,2.250028
-293.4829,149,3.451188
-103.51353,131,4.492141
-402.2084,112,5.392615
-124.14282,125,6.357135
-446.92343,104,7.163917
-249.22466,123,8.144582
-394.79703,123,9.117796
-95.18622,104,9.948159
-99.48271,125,10.934057
-277.25446,103,11.768819
-348.2067,99,12.572505
-326.31647,97,13.320188
-191.13002,110,14.188173
-257.3338,93,14.903968
-159.82767,182,16.295954
-466.8571,131,17.288285
-184.75058,145,24.868261
-108.95788,108,25.698642
-328.90433,99,26.478117
-570.1284,116,27.373029
-300.86548,142,28.493698
-272.818,164,29.747465
-481.06262,132,30.763222
-407.92703,113,31.620253
-316.77042,175,32.978876
-34.755302,75,33.556873
-320.01834,100,34.343595
-108.37578,157,35.583635
-147.49991,112,36.506624
-311.16882,152,37.74038
-112.22768,90,38.484969
-355.49707,148,39.661877
-435.15332,95,46.389588
-202.15916,109,47.291886
-343.52402,105,48.134617
-57.70816,132,49.20851
-190.39493,164,50.525101
-69.27391,141,51.677642
-144.68953,81,52.325588
-214.77884,204,53.970279
-157.73302,123,54.944751
-178.99321,105,55.78643
-100.51084,330,58.417304
-285.96295,201,60.063569
-522.28723,111,60.958348
-168.05725,132,62.047069
-269.85214,95,62.808279
-105.06546,123,69.696084
-289.23993,128,70.71911
-130.21794,91,71.436169
-63.576992,146,72.58922
-283.011,140,73.673128
-717.50195,189,75.160265
-255.81497,122,76.127329
-106.61934,129,77.132639
-37.424145,77,77.718869
-447.73703,82,78.333628
-278.6455,92,79.057975
-173.78387,109,79.901241
-10.701546,106,80.714635
-226.86841,82,81.359045
-525.95874,119,82.284045
-265.44186,105,83.102558
-31.964516,82,83.758071
-368.41418,139,90.621796
-136.52982,105,91.424095
-450.46387,89,92.112982
-60.021057,97,92.861848
-134.25449,103,93.674432
-88.5802,69,94.224046
-129.7523,140,95.3298
-392.40976,111,96.164364
-318.01437,141,97.232701
-367.6073,153,98.414508
-26.457642,85,99.042273
-322.8522,140,100.126553
-130.9754,76,100.702646
-307.18958,82,101.328569
-261.1853,152,102.489085
-438.90872,113,103.359286
-290.05118,152,104.504827
43.23857,90,105.165182
-359.05078,89,105.835874
46.740402,88,112.41188
-259.39862,94,113.127977
-109.39523,79,113.741345
-331.62152,170,115.035988
-124.67987,157,116.294648
-239.79248,93,117.028599
-63.365463,161,118.28299
-101.9382,82,118.925495
-265.83154,197,120.418412
-134.12616,74,120.980151
-87.51761,90,121.669445
-94.81786,147,122.788838
-133.89938,100,123.566635
-90.9235,110,124.406259
-113.9092,112,125.260769
-141.3175,177,126.636814
-60.23834,79,127.225577
-242.08424,95,133.9723
-301.52045,93,134.68023
-261.76215,94,135.394559
-537.5222,200,136.931481
-159.18814,128,137.939618
-65.152954,83,138.589068
-72.61432,83,139.240779
-136.58347,132,140.291293
-251.51091,101,141.102157
-218.66586,143,142.242105
-389.85373,92,142.948393
-368.59946,309,145.328452
-300.6031,118,146.247269
-304.32748,134,147.275113
-229.8525,166,148.567842
-71.30459,103,149.357399
-189.81027,119,156.135326
-50.79016,115,157.016345
-315.87842,131,158.060527
-81.09522,91,158.78468
-106.73009,125,159.791231
-217.5762,133,160.809183
-208.13275,99,161.591246
-232.19868,137,162.701628
-212.7883,115,163.602305
11.858718,1000,169.565471
-88.54992,78,175.904819
-65.50081,192,176.977667
19.379608,117,177.662261
-85.77626,143,178.581835
-289.9124,163,179.707907
-194.77081,167,180.744071
-115.18186,213,182.132145
0.108078,119,182.853523
-91.06157,86,183.395987
-191.8851,236,184.795484
-59.41706,113,185.526256
-358.95337,252,187.304072
-59.297153,105,188.002395
-194.50949,204,195.497337
-62.68129,90,196.108203
-161.6708,139,197.056305
-86.15714,180,198.168563
-29.205269,137,199.109178
-279.93445,171,200.228408
-154.25061,112,200.977599
-324.39014,110,201.667677
-74.6251,91,202.212865
-182.26587,149,203.1599
-156.24278,138,204.008455
-70.38713,183,206.82905
-95.6601,95,207.496019
-84.59271,198,208.722711
-9.48806,147,209.677871
-101.006935,140,216.542794
-277.29706,138,217.422509
-20.812874,154,218.429653
-80.74103,120,219.224661
-43.34574,194,220.516624
-278.16342,204,221.870155
-225.09503,220,223.37043
-69.03219,152,224.408517
-65.446365,211,225.732174
-279.4307,207,227.0909
-119.31229,126,227.818744
-87.73883,162,228.867668
-25.528816,95,235.043961
-74.60399,84,235.593437
-57.003307,158,236.590183
-201.4914,101,237.238641
-14.9548645,86,237.810286
-7.6045456,81,238.342995
-224.77863,132,239.134336
-213.33646,211,240.436255
-272.57037,136,241.38047
-29.991646,98,242.094263
-227.16943,124,243.02075
-207.90218,294,245.052939
-125.49702,171,246.10553
-258.70654,118,246.829349
-125.27216,209,253.506898
-105.85132,103,254.212024
-116.41511,274,256.037227
-185.7678,159,257.141976
-195.25105,193,258.461536
-254.16165,192,259.733548
-180.86713,228,261.255443
-214.86307,201,262.489184
-0.43686676,164,263.579295
-260.18414,309,265.57614
56.69644,1000,277.850159
-43.9944,129,278.628851
-46.153206,86,279.210096
-86.470856,153,280.207239
-18.210052,140,281.097389
-83.167046,154,282.087232
-402.89175,280,283.902786
-121.80405,140,284.811004
-114.60174,176,285.98697
-39.819454,133,292.989459
-1.3958893,157,293.923603
-30.525803,156,294.899406
-210.38045,152,295.936305
-48.3758,207,297.362229
-270.33328,460,300.422377
-21.14112,114,301.086603
-82.19978,157,302.14003
21.634262,100,302.768034
-159.32535,158,303.718034
-17.498165,1000,315.658121
-220.68988,217,317.034682
-88.018654,214,318.369802
-68.067535,222,319.739291
-56.078865,121,320.534789
-38.41465,204,321.892833
6.443344,122,322.696119
-143.63042,435,331.602866
8.536362,133,332.431848
-67.35644,194,333.624222
-20.344978,176,334.705097
18.670723,135,335.564574
-8.939041,173,336.624914
-106.93859,170,337.879791
-79.68629,149,338.918777
-52.94339,101,339.682392
-19.507675,151,340.6954
-56.072624,237,342.394399
-7.992729,142,343.339979
-33.229134,133,350.287967
12.118742,1000,356.436395
50.20815,1000,368.565184
46.16632,146,369.512338
-34.61844,202,370.877181
-72.387924,191,372.108902
-259.87048,279,374.098997
20.499786,133,375.164465
-79.127235,196,376.489137
-198.54584,315,378.467612
-89.20415,1000,390.747119
-113.160355,183,391.870932
-182.75545,260,393.505429
-40.5157,251,397.273636
-70.79344,186,398.552435
-237.63599,271,400.263426
-81.83275,199,401.610693
-45.84761,235,403.01203
-65.18077,234,409.993711
58.50962,1000,416.917995
-8.773538,1000,428.814298
-28.839645,254,430.441811
