#{"t_start": 1756069049.3368106, "env_id": "None"}
r,l,t
-159.65854,75,1.469955
-301.45532,94,3.365562
-94.044205,80,4.979252
-354.62958,120,7.366253
-478.21484,116,9.643323
-125.46495,87,11.382072
-83.85419,130,13.935804
7.192276,138,16.558154
8.592827,180,20.175791
-20.098938,221,24.567237
-158.71516,190,28.252841
-62.044025,160,31.42117
2.7377472,162,34.564348
-85.664314,154,37.437977
-65.941216,497,47.011055
20.4057,209,50.753558
-54.951607,310,56.662504
203.67606,763,71.203067
-27.197739,283,76.54743
-12.278519,259,81.707029
-72.268265,353,88.633205
254.45314,346,95.374281
128.85219,852,111.086942
278.84448,364,117.970372
216.81476,512,127.930879
-53.654278,1000,146.944587
-27.912449,1000,167.614887
160.38393,809,184.340375
-13.950542,1000,204.98333
9.045747,1000,224.734828
-100.159996,121,227.184077
181.61043,688,241.289244
190.74765,660,254.240103
156.91582,894,271.130847
-29.626263,1000,290.63784
-188.88942,380,297.540126
-35.763172,1000,317.179982
-42.859188,129,320.006365
-40.50259,91,322.211135
-80.8203,56,323.558757
-12.877187,1000,346.617498
-31.666183,157,350.113972
-8.342645,1000,374.024262
-198.7691,132,377.044257
-45.050217,107,379.662152
-367.55374,114,382.471856
-324.6587,89,384.606722
-235.9017,169,388.497852
-221.14183,116,391.220223
-203.61917,115,393.830355
-40.43359,107,396.298859
-118.17996,211,401.236461
-157.82703,103,403.545005
-247.79622,153,410.726661
-12.62549,1000,434.083422
-99.72625,380,443.044984
-0.3656006,124,445.961187
6.7540436,211,450.838562
-99.98952,396,459.914021
-127.50101,514,471.560186
-301.04803,757,488.705827
-229.35387,241,494.30883
224.79095,410,504.190829
-1.5800018,204,509.172446
-453.27625,302,516.531827
-32.177246,178,520.673596
-34.533707,193,525.305961
-153.76276,197,529.904119
7.9972534,141,533.381317
-181.93927,207,538.157472
-8.94989,101,540.514249
-179.59036,248,546.257971
66.48773,1000,569.891054
66.55467,164,573.743754
-81.98083,1000,596.821212
-7.0092316,95,598.904827
255.28358,320,605.832123
-48.35355,1000,628.906857
251.72063,451,639.652765
228.17001,382,648.896499
-1.1507345,1000,672.960162
-21.979317,1000,696.866631
-32.854008,1000,720.584732
21.623281,1000,744.539486
240.1014,379,753.409513
-7.451224,1000,776.987879
195.67458,566,790.221242
-17.286896,1000,813.436743
266.0466,262,819.486262
-31.01018,1000,842.59118
35.080627,215,847.694372
274.38745,221,852.735496
224.5942,304,859.678896
44.945435,147,863.049539
296.35852,307,870.653965
-42.62109,1000,918.990458
254.13658,333,927.62407
8.473155,1000,955.356381
-42.115616,1000,983.575642
267.33374,228,990.105745
11.660156,1000,1018.277431
0.3772812,102,1021.28845
237.08366,256,1027.981321
-36.52317,97,1030.52451
166.34903,991,1059.499834
253.01324,278,1067.174939
-3.6559906,74,1069.287925
-11.600006,203,1075.406219
-73.83065,77,1077.616335
-14.596962,1000,1108.679865
15.787009,1000,1138.76708
-47.409546,82,1141.119576
-63.88401,60,1142.724907
259.33118,477,1157.059199
10.046785,1000,1186.95745
33.126183,1000,1217.341443
10.8607025,224,1223.940871
11.405266,112,1227.213319
242.49811,298,1236.7178
10.67939,94,1239.438323
-34.71817,214,1246.327267
-10.644414,1000,1276.835279
3.452845,1000,1305.664005
-116.25857,221,1312.020327
47.57788,186,1317.783035
-34.92501,1000,1346.703821
-9.560939,1000,1376.264406
265.0221,291,1384.763072
-11.572637,1000,1413.447934
280.63647,329,1422.580929
20.407488,1000,1451.582738
246.7013,316,1460.779817
168.93216,698,1481.386124
173.46915,683,1519.724274
-35.79968,1000,1548.166209
-13.55862,1000,1575.301979
179.94138,640,1593.184361
54.450226,248,1600.198379
7.0668,1000,1628.577534
183.91507,345,1638.805218
172.81131,911,1666.47022
261.20102,259,1673.36831
-44.14494,141,1677.731093
-169.0028,432,1690.719804
119.41163,992,1720.366963
15.34903,1000,1751.304759
17.927908,1000,1781.073738
39.152557,161,1786.026225
-5.192502,1000,1815.566916
-2.9991753,1000,1846.248322
-38.954212,280,1855.109414
9.734496,1000,1884.649027
184.06793,609,1900.811519
276.73645,233,1906.666613
11.665619,165,1911.281378
215.94046,434,1924.033943
222.34448,488,1937.119602
239.89592,286,1944.486293
206.30399,677,1962.123825
150.88757,869,1984.536794
215.53497,528,1998.01425
240.30994,298,2005.612657
199.55067,794,2025.977947
221.19247,243,2032.363866
246.1085,293,2039.825668
239.48337,291,2047.244621
259.36557,434,2058.38163
3.682701,117,2061.30439
263.35132,462,2079.842648
245.15681,246,2086.604938
261.32047,414,2098.323936
197.02768,229,2104.896101
46.864258,155,2109.767487
12.368843,79,2111.789644
-32.19632,98,2114.523479
251.63654,226,2120.733241
280.04572,414,2133.065509
-62.74276,174,2137.578664
29.040161,194,2142.728899
291.57278,342,2151.812864
32.781845,154,2155.843549
20.57962,162,2159.85469
289.5028,302,2168.562718
218.12276,353,2178.645651
9.001556,126,2182.147496
261.0138,499,2195.880484
163.99792,709,2214.668014
-14.350014,116,2217.569343
-32.952904,149,2221.579331
-11.299324,120,2225.055531
-144.55637,559,2239.572905
253.25581,341,2248.823809
5.4981995,104,2251.796405
-102.86051,432,2263.668809
245.37297,355,2272.900963
50.049133,174,2277.524522
16.328072,154,2281.591241
241.47983,365,2291.21345
259.92896,474,2303.941296
267.49,253,2310.855131
261.97742,370,2320.728561
268.96497,443,2331.604337
3.3563309,118,2335.039348
230.12448,294,2342.865542
242.07265,316,2351.146388
259.83774,300,2359.49507
225.47588,232,2366.06001
270.5238,324,2374.66359
195.87682,455,2387.769136
45.791702,159,2391.525402
245.13457,389,2401.131213
16.511421,122,2404.396349
255.98126,452,2416.184858
264.32184,469,2428.494436
273.87317,447,2440.242848
253.94931,250,2447.231849
257.0259,282,2454.862433
49.410645,151,2458.661804
289.50922,326,2467.221252
261.3452,409,2478.007584
245.71909,365,2487.719677
261.30185,307,2495.095206
232.98094,375,2504.385279
266.97333,474,2516.558556
264.4527,285,2523.772737
273.36835,238,2529.714757
260.72052,505,2543.032075
238.75313,274,2550.392161
29.54155,178,2554.987808
273.91208,329,2564.820645
246.23123,378,2575.485473
265.13458,257,2582.983618
208.93811,508,2597.606007
264.56982,298,2605.947714
