#{"t_start": 1756069365.685366, "env_id": "None"}
r,l,t
-159.65854,75,1.476358
-350.06134,82,2.438787
-816.265,69,3.176175
-427.75803,95,4.261383
-307.6022,71,5.046408
-400.87067,139,6.577099
221.65482,403,11.271369
-230.7692,115,12.503372
-298.56378,94,13.572619
-110.01842,123,14.94243
-146.10794,235,17.535144
-401.49316,135,19.093383
-218.76663,173,21.106333
-207.32117,135,22.642843
-144.4479,141,24.221175
-154.49112,127,25.756972
-162.27402,123,27.148949
-318.6306,98,28.281228
-207.69467,145,29.963966
-161.45511,195,32.192075
-163.22891,137,33.743801
-216.71298,141,35.440967
-191.05145,81,36.356407
-172.42026,110,37.696882
-199.8075,94,38.804788
-89.115906,279,42.174503
-262.61353,119,43.641899
-62.67673,224,46.345325
-38.50412,236,49.11277
-59.95475,269,52.329107
-51.779842,238,55.082663
-177.71997,152,56.803524
-142.41132,230,59.609921
-93.81725,228,62.279652
-183.97867,209,64.704942
-18.185394,192,66.928984
-96.40595,279,70.17189
-192.37216,78,71.071524
-242.41878,109,72.453147
-188.11401,83,73.421269
-101.57182,206,75.850593
-61.909744,214,78.393592
-118.37604,137,80.06314
-128.18585,80,81.002797
-56.40602,167,83.054212
-10.725372,276,86.238238
-96.086845,169,88.131838
-81.95095,128,89.542092
-129.87181,66,90.269671
-151.15877,105,91.524754
-69.52971,170,93.451533
-119.58031,189,95.650009
-73.16612,156,97.41975
-79.24771,275,100.625047
-85.96566,269,103.738556
-58.443188,283,106.890624
-102.70233,231,109.583412
-148.24268,231,112.265452
202.5989,508,117.941089
-175.87357,87,118.910835
146.84799,447,124.132747
-117.38874,99,125.210744
-105.20577,249,128.054344
16.426163,199,130.309393
-34.12864,234,132.952941
-189.91603,135,134.493548
31.946335,145,136.086008
25.190536,315,139.63876
-189.23294,196,141.921923
-296.9533,148,143.563548
-143.21205,166,145.417437
-49.20384,387,149.779902
-64.55209,378,153.862071
-234.26297,136,155.330927
-7.371681,245,158.004505
6.385956,290,161.361748
241.19943,367,165.704032
-213.5802,242,168.526956
-16.288849,143,170.146826
-223.69153,160,171.971912
-110.51203,280,175.231055
-38.16982,399,179.81227
10.047249,265,182.85924
-216.2294,154,184.63527
-189.10086,298,188.10326
-85.120384,93,189.112985
-218.25284,341,192.863765
-89.04541,104,193.991604
-68.477905,84,194.947991
-214.14285,198,197.338523
-209.36726,176,199.329655
-62.003662,280,202.523001
-88.27289,118,203.843678
-151.74684,125,205.266832
-100.75796,156,207.062463
-7.045929,195,209.360178
172.65184,384,213.782645
-78.40153,108,215.026817
-101.9314,189,217.298593
-10.231422,166,219.374572
-43.685577,185,221.559421
-30.282982,122,222.989195
-33.8767,183,225.08549
-208.80997,151,226.969923
-301.505,136,228.83311
-340.4096,171,230.798207
-314.423,116,233.482265
-307.60144,144,235.077936
-322.29767,140,236.720253
-269.52295,178,238.829954
-260.16714,148,240.503008
-11.900307,167,242.418972
-288.82544,143,244.105818
-354.25385,141,245.694763
24.176628,160,247.51049
-219.55435,142,249.125133
-216.51408,167,251.251611
-170.42804,140,252.917783
-230.69849,153,254.65622
-221.62846,194,256.929453
-235.38506,162,258.845658
12.711945,210,261.297637
-282.1985,189,263.464113
-266.70782,198,265.745023
-216.72928,175,267.87088
-237.9479,230,270.466386
-250.72429,106,271.724169
-290.63492,148,273.421767
-26.747185,220,276.057039
-223.07953,123,277.5793
-73.01837,190,279.873162
-0.9773178,181,281.851677
-18.875946,191,283.924784
-35.666206,250,286.71548
-2.7370682,258,289.571513
