#{"t_start": 1756059204.8506725, "env_id": "None"}
r,l,t
-259.74957,74,12.604928
-1070.1465,142,29.917564
-585.7721,109,41.987161
-553.1946,95,52.524853
-478.34708,118,66.463355
-674.61835,115,79.430058
-654.48785,116,93.460521
-681.488,144,108.119222
-410.8898,119,123.030499
-678.7635,154,141.407087
-404.725,134,154.185961
-285.3686,142,170.190656
-337.3173,202,192.960227
-253.00679,165,211.090243
-283.15558,103,221.909047
-211.17097,148,236.552673
-254.14761,150,250.532424
-294.49817,155,267.743218
27.092766,105,279.17538
-200.91498,151,298.232953
-169.61218,133,310.460784
-46.158817,236,329.047103
-230.56334,154,335.05609
195.8621,538,336.137626
-82.72627,226,336.484665
-15.51284,91,336.624943
-291.25607,135,336.837057
-57.934776,251,337.292492
-37.459618,323,337.903094
-206.54219,261,338.338841
3.7630844,108,338.547104
-58.882553,235,338.94113
-262.9156,206,339.336731
-182.83643,203,339.683098
-170.86697,137,339.933612
-188.52213,202,340.298022
247.32939,306,340.848213
241.41396,547,341.819175
-80.759155,499,342.58461
-141.58723,184,342.899608
-254.07744,243,343.350786
-191.90971,302,343.909467
-85.583015,218,344.316366
-216.46536,144,344.576089
10.841064,230,344.917002
-201.00955,187,345.198769
-5.946846,125,345.403569
-46.937164,328,345.897727
-18.570976,166,346.176856
-4.375389,197,346.560191
10.586197,276,346.971851
-17.21695,130,347.15992
-12.742279,189,347.448072
50.342987,139,347.717575
-69.257805,88,347.880267
14.596901,169,348.164717
-33.4312,135,348.444786
28.528732,106,348.617006
-134.11061,140,348.824558
-70.060455,83,348.95286
53.105774,175,349.202655
-56.160496,102,349.389868
-8.160362,77,349.543987
-191.41711,117,349.746466
-2.5222092,148,350.045433
-180.3947,130,350.275301
-18.190063,165,350.570083
27.008072,142,350.794306
20.036133,92,350.978071
17.791931,196,351.308177
-209.26277,92,351.458027
-54.766094,84,351.596219
30.678741,137,351.819012
-52.255543,85,351.975008
-146.39085,79,352.11206
-117.52931,90,352.265732
-3.1862488,120,352.456154
-166.90704,73,352.563681
-131.5917,122,352.752353
-165.94955,87,352.94575
-124.019424,123,353.154563
68.53453,138,353.365891
-12.891182,90,353.531561
-33.8368,85,353.658303
9.854996,190,354.064029
14.975311,93,354.24201
41.221725,133,354.489504
-5.630638,93,354.648865
-182.2152,112,354.849634
10.896568,77,354.999343
-28.345871,94,355.178529
-213.79498,135,355.423627
-198.4979,119,355.650844
-21.35994,112,355.835585
-128.92795,133,356.063178
19.313393,151,356.284827
9.011215,188,356.55596
37.92157,129,356.769926
-50.917168,108,356.972687
20.666954,198,357.309436
-38.265137,101,357.496348
-89.629906,104,357.688069
-39.376,180,358.019399
69.366196,123,358.250594
-237.1113,91,358.423589
28.91156,85,358.556022
-57.12327,78,358.700818
70.16667,112,358.929243
-4.337204,98,359.083435
15.229286,174,359.343827
52.474,141,359.600803
29.852615,90,359.737944
-6.8659973,161,359.995321
243.33215,340,360.623046
297.9594,582,361.542475
59.39331,153,361.796874
18.058945,160,362.049868
30.649948,188,362.381958
252.78024,300,362.891406
32.479156,145,363.140945
38.99942,141,363.358768
68.91426,139,363.56827
-28.784416,102,363.740954
-22.961975,130,363.930655
-50.05258,101,364.331002
-71.78049,89,364.46565
-40.38365,75,364.581518
-45.29302,84,364.711578
6.7497787,74,364.834385
-1.0728226,78,364.947169
-16.572884,118,365.144703
-25.930756,117,365.351556
27.92405,176,365.647468
19.34105,115,365.820412
241.75853,231,366.211199
37.689163,156,366.452697
55.929092,159,366.758648
271.09058,217,367.086391
-7.931343,220,367.50322
13.960983,240,367.892329
-42.642063,116,368.074215
-45.004967,110,368.248512
39.690994,127,368.451241
38.077713,140,368.672101
218.0321,310,369.21159
-14.144798,166,369.488711
-20.250153,93,369.673092
4.3188095,154,369.929041
41.665024,142,370.14564
-7.428566,114,370.329997
17.52964,138,370.612853
53.923294,146,370.827989
-12.347939,102,370.986936
52.216156,198,371.288184
60.717255,133,371.496196
30.257034,164,371.816543
26.48841,157,372.087365
1.7586288,159,372.337326
0.6408539,156,372.58315
24.49054,155,372.825592
-5.87117,159,373.149008
11.812675,179,373.503425
-2.8010788,214,373.844334
-23.07125,223,374.240709
235.64445,326,374.798722
-146.9307,74,374.90679
-86.76924,1000,376.531377
3.6607895,316,377.043527
-137.39287,1000,378.719198
-27.213676,342,379.239692
67.30147,157,379.461107
-28.595062,306,379.955171
-14.202942,94,380.11183
18.16954,132,380.318445
29.198608,95,380.457587
10.9693985,186,380.748485
3.9054184,144,380.970703
-2.523178,114,381.142719
-61.11001,161,381.395389
-16.991241,115,381.591339
-51.685867,96,381.737579
-96.8468,70,381.870835
-38.95249,94,382.023542
-74.60923,93,382.16222
35.046738,76,382.293805
-54.80249,97,382.460786
25.279251,129,382.668951
23.560005,126,382.865942
-2.9634857,152,383.097171
11.418991,125,383.313961
-133.17595,92,383.465527
53.756012,97,383.622977
-82.80962,86,383.751092
-3.899063,145,383.969771
24.650093,157,384.208255
-89.18074,71,384.340102
1.9185715,128,384.526459
30.636932,101,384.672367
-18.94075,106,384.838653
15.326111,89,384.970502
11.021332,112,385.137794
-52.434696,71,385.244529
18.581528,94,385.401973
47.648712,105,385.568952
5.0280457,86,385.698911
5.9796753,108,385.862164
-190.13275,87,385.99041
-7.4181824,94,386.131414
-0.9464874,102,386.27708
45.735672,160,386.528688
12.990593,117,386.711129
-16.14936,118,386.890643
-39.737423,104,387.046216
-5.693695,120,387.22363
-133.19191,69,387.326026
-162.80533,73,387.444859
0.032539368,100,387.616119
-62.996613,78,387.764858
-3.9915771,88,387.921754
-1.9629211,89,388.052384
18.86345,139,388.299478
-55.625175,85,388.464644
1.0151443,118,388.68523
-17.743576,107,388.876676
-26.186295,92,389.025156
-21.56028,122,389.224513
-16.334908,121,389.413729
-67.35068,89,389.605868
8.899185,96,389.753108
-25.368416,115,389.940669
-7.1493683,96,390.091816
-69.6066,82,390.226458
-14.9741745,116,390.415402
-41.801723,94,390.561064
3.2789001,92,390.700484
9.086639,132,390.897201
15.023636,119,391.073545
1.7789841,106,391.24196
-230.37692,65,391.336685
12.385353,98,391.501606
-43.240337,111,391.674975
-42.97173,102,391.846759
-185.76508,107,392.006457
-25.705482,91,392.136051
-47.369015,110,392.29838
-6.3246994,109,392.451647
-21.571945,93,392.586443
13.077141,99,392.731172
-126.79996,77,392.849206
-18.124657,88,392.98194
-7.8194733,137,393.162211
-96.804886,69,393.280143
-1.1116409,95,393.430712
-81.55304,104,393.591264
-35.758316,100,393.77338
-18.75074,84,393.897089
-30.647263,98,394.04815
9.655563,98,394.18806
-49.47689,92,394.325483
-27.025887,107,394.491113
