#{"t_start": 1756059152.86222, "env_id": "None"}
r,l,t
-189.96202,66,1.683803
-82.31218,99,1.730252
-386.91565,99,1.746795
-103.93269,78,1.765269
-76.75717,82,1.785623
-240.49577,109,1.807379
-99.493515,78,1.822944
-255.25531,115,1.844232
-41.293385,117,1.877038
-325.03387,97,1.897106
-178.49527,138,1.97398
-175.28479,78,1.988104
-316.19128,81,2.007288
-156.2927,72,2.020054
-95.620476,57,2.030378
-158.24211,108,2.050608
-150.25531,125,2.080193
-178.34265,63,2.093632
-75.11989,117,2.116684
-308.7931,110,2.139377
-125.90492,143,2.174324
-6.251808,82,2.190319
-122.73403,94,2.206881
-90.11063,117,2.228643
-370.06647,92,2.254411
-408.5374,138,2.290828
-249.8732,71,2.30837
-255.88818,114,2.326943
-230.76804,85,2.344797
-294.86554,75,2.366674
-118.98774,69,2.381281
-206.66667,76,2.396427
-367.28778,97,2.417021
-102.34686,70,2.429773
-357.4576,110,2.447295
-326.48633,95,2.465267
-120.77829,85,2.485443
23.777016,94,2.501523
-183.21754,105,2.519006
-110.82653,65,2.530438
-348.34537,89,2.548874
-68.09811,81,2.562073
-153.59583,96,2.58218
-176.59348,76,2.597471
-323.86713,71,2.616129
-110.867836,120,2.639055
15.126282,76,2.654552
-88.35326,82,2.671356
-83.04944,78,2.693864
-46.6426,75,2.709546
-255.98676,117,2.732285
-95.924774,77,2.747937
-162.46973,68,2.766989
-208.05415,79,2.785038
-94.89722,118,2.807925
-160.51056,66,2.820215
-243.11754,107,2.844781
-122.234795,114,2.866117
-159.12067,74,2.880169
-102.33149,85,2.898908
20.343262,112,2.923883
-205.45685,77,2.938066
-138.5333,65,2.950331
-101.03836,68,2.962751
-110.4294,98,2.986929
-127.67709,91,3.004655
-332.06213,96,3.022525
-128.08672,69,3.03405
-358.02106,98,3.055449
-236.977,101,3.074039
-88.68466,65,3.089059
-189.84305,81,3.104515
-66.9858,114,3.129144
-81.96789,89,3.145333
-108.51985,94,3.162584
-280.76108,106,3.182225
-146.0486,97,3.208283
-123.50341,64,3.220391
-306.3123,117,3.244828
-268.40564,109,3.264596
-341.1358,77,3.282924
-70.80145,75,3.30009
-207.81967,107,3.322936
-194.8074,114,3.348192
-471.0823,110,3.374034
-501.41772,97,3.391825
-372.32574,85,3.410805
-131.36774,102,3.430598
-215.23196,137,3.463032
-146.57146,129,3.486332
-350.3601,109,3.517381
-493.1098,96,3.550363
-415.4801,100,3.576963
-156.01053,92,3.593394
-358.93634,113,3.614715
-246.72786,120,3.632196
-158.87564,85,3.64875
-117.15394,85,3.661276
-248.91832,104,3.675964
-64.74456,70,3.686289
-111.64649,74,3.699792
-74.12188,70,3.712388
-361.0286,113,3.729013
