#{"t_start": 1756059176.7945387, "env_id": "None"}
r,l,t
-200.10838,66,3.287122
-89.927155,91,3.899014
-97.54907,76,4.316067
-100.42973,90,4.909114
-94.357346,68,5.380573
-83.054306,76,5.946794
-193.67526,71,6.373903
-163.73363,96,6.972353
-130.22668,114,7.648372
-376.31647,93,8.192594
-108.714035,92,8.728588
-81.93457,85,9.25225
-469.5591,115,10.006922
-254.07729,104,10.621729
-318.0977,83,11.1312
-142.86673,107,11.767544
-334.28223,114,12.443048
-173.48064,93,12.992788
-242.82999,114,13.664288
-183.62352,105,14.327381
-383.2339,104,14.957129
-307.65643,100,21.623113
-129.61626,113,22.303535
-172.52542,119,23.033792
-243.0042,160,23.968485
-337.53363,91,24.570023
-150.89177,79,25.104459
-74.906456,63,25.50972
-112.96097,87,26.04109
-55.83701,123,26.835125
-267.60477,91,27.38226
-140.98083,84,27.90789
-432.77945,97,28.488495
-107.89485,69,28.832893
-245.15878,128,29.530613
-291.29272,174,30.649899
-338.06982,134,31.468889
-100.58101,59,31.858692
-107.83531,70,32.34345
-89.69769,91,33.10917
-459.8035,107,33.712614
-131.1923,60,34.192738
-41.89347,89,40.872476
-351.38672,142,41.705478
-77.5539,120,42.483134
-338.01343,135,43.181636
-98.009415,97,43.847732
-79.49039,71,44.302937
-319.5564,107,44.931557
-127.062675,77,45.544394
-125.51584,119,46.24517
9.718391,84,46.750061
-108.70476,89,47.234731
-272.27017,97,48.0941
-375.76013,109,48.907364
-103.93614,137,49.724576
-504.5984,104,50.426048
-84.92651,73,50.822566
-81.55417,86,51.327304
-54.606678,69,51.667994
-274.53033,99,52.354466
-118.77733,145,53.241122
-221.97855,128,60.480193
-89.48111,67,61.015366
-146.22273,88,61.58105
-67.98064,67,62.074863
-124.929726,132,63.033397
-134.56383,117,63.822861
-108.3557,61,64.164582
-256.22562,93,64.750108
-185.21729,106,65.41464
-44.080727,82,65.935048
-58.867973,85,66.411346
-215.46225,119,67.264997
-249.18712,119,68.041022
-57.974033,65,68.319921
-98.33477,65,68.682857
-113.82443,94,69.203791
-362.73602,108,70.101403
-135.70215,126,70.99114
-391.4074,78,71.455264
-171.07388,132,72.27393
-323.4839,142,73.096547
-531.7091,145,80.879457
-78.96267,76,81.380801
-403.62848,101,81.985874
-125.56435,69,82.451275
-100.92186,100,83.20868
-198.9122,64,83.601686
-27.952675,124,84.315018
-241.553,84,84.78218
-101.62243,74,85.357217
-136.89856,77,85.782677
-130.54091,85,86.323075
-354.1659,143,87.416872
-81.00973,90,88.015195
-240.72272,94,88.648566
-298.70276,138,89.704672
-351.77045,92,90.329643
-370.59174,123,91.096159
-142.99301,84,91.684151
-486.7707,125,92.311979
-188.34964,109,92.807402
-231.90015,97,99.223973
-133.5251,138,100.147417
-72.46417,84,100.633637
-168.8424,104,101.134177
-44.87308,166,102.178033
-82.29158,66,102.562798
-275.41754,143,103.336373
-101.697,79,103.778216
-158.84332,132,104.462185
-215.78027,110,105.16442
-266.9911,133,105.81356
-103.52559,83,106.255401
-202.17673,88,106.744806
-120.08317,110,107.234504
-86.08366,64,107.512275
-121.711296,123,108.164954
-53.72416,70,108.495691
-467.67633,143,109.270845
-357.5376,95,109.803838
-58.809547,65,110.189935
-249.91113,112,116.72486
-13.095047,71,117.059157
-318.6545,96,117.501708
-87.39891,132,118.259267
7.7281876,111,118.907953
-99.81425,119,119.52225
-103.32849,125,120.295419
-251.01416,104,120.88922
-76.85278,90,121.436976
-163.05519,112,122.037275
-241.75063,102,122.591695
-184.45522,134,123.442852
-138.89543,113,124.011131
-112.82115,102,124.502315
-296.19113,183,125.306056
-197.29657,100,125.930836
-217.03386,140,126.703995
-94.621124,83,127.084708
-268.25635,126,134.010223
-101.91176,96,134.598925
-164.14523,72,134.986331
-79.87228,99,135.438879
-129.81422,125,136.128357
-179.40695,196,137.254786
-187.51376,144,138.006402
-228.20863,100,138.640137
-90.231415,78,139.093496
-106.439514,86,139.501957
-357.46564,123,140.073503
-41.356895,138,140.814015
-264.82776,87,141.272844
-201.99858,118,141.886186
-382.1297,132,142.692806
-35.50022,80,143.187741
-223.63239,138,143.910325
-78.07261,97,144.411396
-97.407814,80,150.218541
-98.61352,128,150.869651
-54.692074,77,151.306325
-80.49477,111,151.913218
-148.38004,99,152.397119
-69.08989,71,152.715018
-164.56754,116,153.420139
-61.013733,76,153.92708
-84.90875,183,154.968259
-427.53293,143,155.679459
-86.79942,106,156.156029
-73.78985,84,156.576595
-379.5513,140,157.462787
-244.20482,125,157.996885
-354.04282,191,159.114305
-333.5259,133,159.833095
-56.119812,102,160.460245
-66.90588,79,160.961394
-43.355072,96,166.4945
-275.14313,111,166.942303
-83.17562,111,167.50594
-47.299404,102,168.04274
-378.75912,130,168.753854
-75.95246,146,169.577226
-216.04434,115,170.215416
-114.797676,148,170.912982
-295.31,103,171.381643
26.04818,150,172.117796
-38.08483,100,172.65445
-78.3489,169,173.566433
-136.00256,98,174.045295
-82.78561,93,176.50574
0.7848816,155,177.377857
-287.57297,125,178.195651
-88.92327,117,178.705899
-9.489777,134,184.767183
-206.12415,133,185.384837
-43.52871,86,185.795047
-61.13132,82,186.198134
-116.00577,215,187.413944
-250.751,119,188.029666
-26.189133,129,188.724704
-61.03418,98,189.324536
-123.32507,128,190.027909
-104.83126,134,190.73168
-73.76839,103,191.377863
-68.35986,144,192.220489
-40.976532,81,192.60788
-188.044,132,193.354091
-230.64847,123,194.055247
-126.5804,125,194.736204
-56.591736,109,195.392201
-150.95345,147,201.979743
-241.09581,151,202.829265
-113.09314,111,203.433507
-145.30861,133,204.147999
-197.24641,176,205.040658
-33.534004,181,206.29137
-47.724438,137,207.078217
-90.763054,153,207.865972
-233.40892,242,209.19281
-199.14621,202,210.389707
-285.38086,153,211.19909
-177.20116,134,211.932266
-34.311333,126,212.612084
-33.20761,171,218.525028
-191.5484,122,219.224159
-32.2798,135,219.892054
-49.41933,151,220.650359
-48.991547,113,221.089183
-22.537865,163,222.038897
-71.98285,135,222.862687
-92.30585,131,223.591276
27.17633,112,224.133486
35.15573,195,225.182931
-115.842,147,225.909544
-96.004456,132,226.509897
-260.05048,127,227.157195
-23.385979,128,227.843188
-27.751633,115,233.911821
-84.681816,141,234.531601
-39.444504,167,235.537879
-57.303345,209,236.559607
-123.024574,151,237.421693
-154.33334,156,238.283704
-9.745529,144,239.044463
-49.651806,131,239.641169
-11.179192,167,240.561154
-7.1160583,121,241.302099
-85.91731,197,242.50458
-13.669777,139,243.205332
-43.0393,126,243.988642
-235.14343,172,244.906003
-2.3299332,132,251.010958
-169.70016,210,252.099289
-5.0644608,111,252.638102
-11.461494,144,253.315112
-33.610924,120,253.980655
-79.272224,176,254.891667
-55.115032,142,255.569165
-27.895035,173,256.405701
9.4739,138,257.115941
-57.01547,150,257.977186
-40.458073,139,258.617722
9.556808,195,259.715204
-52.57248,163,260.574691
-68.26817,201,266.825584
-80.63878,125,267.672774
-163.02182,219,268.972221
4.531578,176,269.822773
-80.047005,191,270.90187
34.87596,164,271.742931
-75.654144,130,272.527921
-128.78865,330,274.13815
-66.29489,157,274.776634
-19.165558,184,275.766324
-23.256409,126,276.381226
19.571922,160,283.39608
-125.941284,228,284.679208
-102.132256,174,285.760154
-24.238464,127,286.341673
79.076904,1000,291.574905
-0.4103012,183,292.611931
50.698273,190,293.723354
13.7558975,157,300.074053
-52.475246,203,301.319185
-133.17032,207,302.504598
-27.550003,104,303.069167
47.42752,177,304.122796
-38.160385,147,304.941264
-25.874756,128,305.69664
-47.839737,192,306.712494
-63.390743,138,307.608375
-66.35118,152,308.38631
-42.788963,170,309.343123
-11.242455,125,310.09531
-103.80002,112,310.642161
-74.82555,113,311.314843
-1.3723297,124,318.388233
-46.97397,101,318.963567
1.2341309,111,319.642805
-25.375679,162,320.518675
-35.802948,117,321.308837
-124.62896,201,322.519439
27.574066,130,323.371966
17.498932,126,324.103103
82.043915,1000,335.975641
107.88941,1000,341.902388
13.514519,161,353.255875
26.572067,167,354.151835
-209.59116,263,355.459547
-9.271759,167,356.363187
