#{"t_start": 1756065821.293284, "env_id": "None"}
r,l,t
233.0,48,3.5822
232.0,48,4.285886
232.0,48,4.964815
232.0,48,5.666615
232.0,48,6.353015
232.0,48,7.05378
232.0,48,7.73437
232.0,48,8.415368
232.0,48,9.10602
232.0,48,9.79944
232.0,48,10.514808
232.0,48,11.203415
232.0,48,11.892769
232.0,48,12.590487
232.0,48,13.278447
232.0,48,13.992233
232.0,48,14.681302
232.0,48,15.38053
232.0,48,16.078658
232.0,48,16.776071
232.0,48,17.493454
232.0,48,18.199669
232.0,48,18.901425
232.0,48,19.604469
232.0,48,20.297455
232.0,48,20.998082
232.0,48,21.703083
232.0,48,22.412599
232.0,48,23.123687
232.0,48,23.823184
232.0,48,24.512587
232.0,48,25.203019
232.0,48,25.885608
232.0,48,26.574137
232.0,48,27.2592
232.0,48,27.95719
232.0,48,28.640482
232.0,48,29.320278
232.0,48,30.02017
232.0,48,30.705222
232.0,48,31.403419
232.0,48,32.147912
232.0,48,32.84164
232.0,48,33.555299
232.0,48,34.248092
232.0,48,34.949509
232.0,48,35.637141
232.0,48,36.334571
232.0,48,37.018516
232.0,48,37.703792
232.0,48,38.435629
232.0,48,39.180404
232.0,48,39.928064
232.0,48,40.650194
232.0,48,41.361818
232.0,48,42.072918
232.0,48,42.811082
232.0,48,43.523749
232.0,48,44.241484
232.0,48,44.947474
232.0,48,45.66198
232.0,48,46.395542
232.0,48,47.125959
232.0,48,47.854503
232.0,48,48.540191
232.0,48,49.24583
232.0,48,49.950448
232.0,48,50.664732
232.0,48,51.379939
232.0,48,52.07154
232.0,48,52.766289
232.0,48,53.475975
232.0,48,54.202125
232.0,48,54.954707
232.0,48,55.665882
232.0,48,56.382648
232.0,48,57.078571
232.0,48,57.781731
232.0,48,58.544475
232.0,48,59.238643
232.0,48,59.946054
232.0,48,60.656392
232.0,48,61.360432
232.0,48,62.123435
232.0,48,62.898604
232.0,48,63.637589
232.0,48,64.39023
232.0,48,65.108978
232.0,48,65.822555
232.0,48,66.519851
232.0,48,67.284733
232.0,48,67.962897
232.0,48,68.675107
232.0,48,69.429647
232.0,48,70.137832
232.0,48,70.892264
232.0,48,71.681269
232.0,48,72.455786
232.0,48,73.220231
232.0,48,73.972979
232.0,48,74.77202
232.0,48,75.514995
232.0,48,76.215877
232.0,48,76.965805
232.0,48,77.761258
232.0,48,78.482302
232.0,48,79.240021
232.0,48,80.004937
232.0,48,80.773045
232.0,48,81.501342
232.0,48,82.273748
232.0,48,83.033491
232.0,48,83.771676
232.0,48,84.488262
232.0,48,85.242195
232.0,48,85.967036
232.0,48,86.756109
232.0,48,87.48821
232.0,48,88.289581
232.0,48,89.016278
232.0,48,89.819598
232.0,48,90.53429
232.0,48,91.215394
232.0,48,92.007136
232.0,48,92.721536
232.0,48,93.484164
232.0,48,94.201508
232.0,48,94.874936
232.0,48,95.598564
232.0,48,96.307776
232.0,48,97.080296
232.0,48,97.794401
232.0,48,98.533314
232.0,48,99.288274
232.0,48,100.082319
232.0,48,100.809685
232.0,48,101.513429
232.0,48,102.211194
232.0,48,102.962352
232.0,48,103.686697
232.0,48,104.373293
232.0,48,105.115382
232.0,48,105.943047
232.0,48,106.682484
232.0,48,107.428194
232.0,48,108.173293
232.0,48,108.949824
232.0,48,109.672304
232.0,48,110.410076
232.0,48,111.156999
232.0,48,111.8591
232.0,48,112.5995
232.0,48,113.3816
232.0,48,114.22017
232.0,48,114.957545
232.0,48,115.637899
232.0,48,116.405076
232.0,48,117.178234
232.0,48,117.933884
232.0,48,118.63957
232.0,48,119.312356
232.0,48,120.024399
232.0,48,120.729162
232.0,48,121.437357
232.0,48,122.11608
232.0,48,122.767827
232.0,48,123.449257
232.0,48,124.175643
232.0,48,124.865748
232.0,48,125.545562
232.0,48,126.242158
232.0,48,126.943531
232.0,48,127.648726
232.0,48,128.34893
232.0,48,129.04344
232.0,48,129.780691
232.0,48,130.491887
232.0,48,131.194653
232.0,48,131.955268
