#{"t_start": 1758021627.114226, "env_id": "None"}
r,l,t
637.0,861,9.385157
912.0,964,17.52501
251.0,42,17.869225
790.0,316,20.5319
228.0,60,21.040878
227.0,52,21.513099
597.0,140,22.723424
589.0,133,23.884855
443.0,2406,44.224169
863.0,1236,54.762893
583.0,157,56.066838
801.0,229,57.971246
923.0,886,65.593507
733.0,449,69.407423
527.0,1372,81.407704
267.0,2406,102.309387
222.0,71,102.896164
1021.0,2019,120.467963
748.0,569,125.367578
227.0,57,125.842125
577.0,200,127.597386
515.0,1575,141.227799
617.0,302,143.8524
188.0,101,144.694468
1057.0,1793,159.912226
246.0,57,160.389524
787.0,1704,175.983706
681.0,506,181.533848
720.0,741,189.19098
587.0,228,191.430231
990.0,615,197.988069
547.0,1596,214.995864
897.0,1047,226.656107
724.0,2220,249.872316
579.0,275,252.645136
242.0,53,253.187575
231.0,50,253.694015
618.0,112,254.852813
707.0,396,258.995931
429.0,2406,284.539495
812.0,1631,302.250151
963.0,2371,327.018757
671.0,1036,338.269205
232.0,60,338.97903
236.0,51,339.592576
247.0,42,340.101039
207.0,64,340.860529
239.0,70,341.531644
598.0,167,343.159229
562.0,1334,356.973828
599.0,152,358.774548
196.0,70,359.591308
1009.0,2120,382.135308
1172.0,1053,393.19134
840.0,1492,409.548189
240.0,48,410.022661
731.0,222,412.306978
598.0,418,416.544046
221.0,59,417.115769
234.0,50,417.586968
472.0,1608,435.209068
1768.0,2406,460.69311
249.0,44,461.120224
674.0,638,468.479735
606.0,112,469.826039
223.0,67,470.646359
217.0,57,471.252559
215.0,74,471.960341
203.0,63,472.576918
684.0,350,476.211174
630.0,116,477.442957
761.0,1867,497.632178
774.0,409,501.866854
443.0,2406,527.243194
218.0,64,528.016759
608.0,357,532.375015
232.0,61,533.11159
737.0,350,536.834902
252.0,40,537.213309
796.0,287,540.191607
646.0,132,541.548578
239.0,48,542.035676
231.0,57,542.569697
690.0,658,549.230179
243.0,52,549.853671
602.0,174,552.000155
813.0,182,554.323029
584.0,160,556.260074
626.0,129,557.497986
589.0,1529,573.956669
581.0,324,577.830091
596.0,147,579.268918
235.0,50,579.767126
232.0,62,580.361462
627.0,235,582.913219
643.0,150,584.494994
797.0,282,587.308074
1117.0,1542,604.406777
248.0,43,604.854192
802.0,251,607.510442
1223.0,1444,623.333682
239.0,45,623.80816
638.0,175,625.69162
640.0,1202,639.046355
609.0,353,642.987202
623.0,133,644.315961
248.0,62,645.019881
944.0,764,652.874953
636.0,102,653.873969
578.0,220,656.08736
1217.0,893,666.362694
494.0,1690,684.590466
444.0,2406,711.898884
1232.0,742,719.649182
267.0,2406,746.375731
227.0,67,747.220273
623.0,850,756.901518
577.0,225,759.253884
1268.0,558,764.986706
