#{"t_start": 1756065759.1301582, "env_id": "None"}
r,l,t
551.0,377,8.172782
985.0,2214,37.520932
2244.0,1012,50.779621
1146.0,1290,67.532581
931.0,821,78.371973
615.0,888,90.356738
631.0,115,91.889867
888.0,1161,107.38898
1301.0,307,111.52997
1367.0,524,118.686862
1138.0,1411,137.766149
226.0,68,138.653467
633.0,207,141.508673
709.0,328,146.023924
246.0,51,146.725602
684.0,487,153.392374
596.0,127,155.240081
1040.0,202,157.954126
252.0,37,158.455279
252.0,36,158.99776
497.0,796,169.855395
251.0,37,170.368273
252.0,37,170.845248
252.0,37,171.422666
253.0,35,171.847376
252.0,37,172.348713
252.0,37,172.914516
252.0,37,173.388903
252.0,37,173.878451
252.0,37,174.356354
252.0,37,174.932063
252.0,37,175.441451
252.0,37,175.929545
252.0,37,176.489754
252.0,37,176.972815
252.0,37,177.52109
252.0,37,178.009634
252.0,37,178.554928
252.0,37,179.051675
252.0,37,179.533746
252.0,37,180.096582
252.0,37,180.573115
252.0,37,181.012638
252.0,37,181.471985
252.0,37,182.009575
252.0,37,182.440802
252.0,37,182.889298
252.0,37,183.401818
252.0,37,183.84494
252.0,37,184.290447
252.0,37,184.751926
252.0,37,185.264271
252.0,37,185.730883
252.0,37,186.211596
252.0,37,186.794516
252.0,37,187.259134
252.0,37,187.731497
252.0,37,188.249664
252.0,37,188.700311
252.0,37,189.157142
252.0,37,189.653019
252.0,37,190.217583
252.0,37,190.684893
252.0,37,191.161217
252.0,37,191.705502
252.0,37,192.179936
252.0,37,192.657647
252.0,37,193.138203
252.0,37,193.705671
252.0,37,194.210437
252.0,37,194.678052
252.0,37,195.199417
252.0,37,195.676755
252.0,37,196.146581
252.0,37,196.613209
252.0,37,197.168732
252.0,37,197.655066
252.0,37,198.136854
252.0,37,198.692724
252.0,37,199.166539
252.0,37,199.641867
252.0,37,200.120905
252.0,37,200.677699
252.0,37,201.16824
252.0,37,201.635735
252.0,37,202.158182
252.0,37,202.611286
252.0,37,203.066483
252.0,37,203.518435
252.0,37,204.047245
252.0,37,204.494148
252.0,37,204.956875
252.0,37,205.50448
252.0,37,205.977186
252.0,37,206.444921
252.0,37,206.917356
252.0,37,207.461621
1229.0,882,219.27914
252.0,37,219.744426
251.0,35,220.172851
252.0,37,220.719174
252.0,37,221.192088
252.0,37,221.660351
512.0,656,230.399637
617.0,122,232.024095
597.0,156,234.07493
252.0,37,234.611401
616.0,130,236.367982
253.0,36,236.841432
606.0,92,238.087064
252.0,35,238.525958
236.0,43,239.070805
624.0,103,240.509372
253.0,35,240.944167
268.0,2406,273.745755
649.0,110,275.262778
1153.0,1323,293.220744
623.0,112,294.763192
635.0,195,297.492459
1010.0,379,302.665361
711.0,798,313.741762
544.0,741,323.773306
577.0,1601,345.679171
833.0,1506,366.224861
605.0,93,367.44017
1093.0,1657,389.861279
622.0,128,391.547001
623.0,270,395.203907
622.0,127,396.933375
242.0,46,397.518169
934.0,872,409.369732
730.0,472,415.787482
567.0,291,419.695851
597.0,218,422.674455
240.0,45,423.227561
749.0,1949,449.25899
240.0,45,449.916048
238.0,44,450.484629
683.0,964,463.628457
611.0,117,465.218813
1606.0,737,475.27545
607.0,203,478.134812
249.0,40,478.666583
739.0,625,487.32839
621.0,1336,505.748934
610.0,220,508.825848
1204.0,1071,523.351596
246.0,48,524.046289
1032.0,1944,550.368882
636.0,189,552.8944
868.0,1209,569.522714
756.0,1896,595.222217
637.0,180,597.584888
608.0,356,602.541908
534.0,657,611.590032
613.0,326,616.21842
443.0,2406,648.749449
