#{"t_start": 1756064242.6936002, "env_id": "None"}
r,l,t
-839.0,200,1.725285
-722.0,200,2.51541
-650.0,200,4.577781
-560.0,200,4.953889
-470.0,200,6.216307
-461.0,200,6.910778
-407.0,200,7.585021
-371.0,200,8.825316
-299.0,200,9.380615
-290.0,200,10.31292
-263.0,200,11.129513
-290.0,200,11.425881
-245.0,200,12.491064
-254.0,200,13.189141
-209.0,200,13.45851
-227.0,200,13.770821
-227.0,200,14.847784
-218.0,200,15.320029
-209.0,200,15.617872
-200.0,200,16.798689
-200.0,200,17.605119
-200.0,200,17.877601
-200.0,200,18.439725
-200.0,200,18.849295
-200.0,200,19.367753
-200.0,200,20.224211
-200.0,200,20.7085
-200.0,200,21.137918
-200.0,200,21.662114
-209.0,200,22.527216
-200.0,200,22.942358
-209.0,200,23.22913
-200.0,200,24.388699
-209.0,200,25.552462
-209.0,200,26.114305
-200.0,200,26.395556
-200.0,200,27.40232
-200.0,200,28.352159
-200.0,200,29.014836
-200.0,200,29.456986
-200.0,200,30.4754
-200.0,200,30.748448
-200.0,200,31.383225
-200.0,200,32.322006
-200.0,200,32.800927
-245.0,200,33.390418
-362.0,200,34.121881
-281.0,200,34.450302
-209.0,200,35.059291
-209.0,200,35.755805
-209.0,200,37.132555
-200.0,200,37.639752
-200.0,200,38.056009
-227.0,200,39.03671
-200.0,200,39.454707
-200.0,200,39.856827
-200.0,200,40.231776
-200.0,200,40.565748
-200.0,200,40.926211
-209.0,200,41.395391
-200.0,200,41.747728
-200.0,200,42.068605
-200.0,200,42.472484
-200.0,200,43.446021
-200.0,200,43.904076
-200.0,200,44.456583
-200.0,200,45.230501
-200.0,200,46.043464
-200.0,200,46.562039
-200.0,200,46.837908
-200.0,200,47.236545
-200.0,200,48.441538
-209.0,200,49.222182
-200.0,200,49.483881
-200.0,200,49.845354
-200.0,200,50.707043
-200.0,200,51.97871
-200.0,200,52.88415
-200.0,200,53.261091
-200.0,200,53.525518
-200.0,200,54.525043
-200.0,200,55.052641
-200.0,200,55.755468
-200.0,200,56.830547
-200.0,200,57.092128
-200.0,200,58.636665
-200.0,200,59.086744
-200.0,200,59.428732
-200.0,200,60.607944
-200.0,200,61.496311
-200.0,200,61.777271
-200.0,200,62.805658
-200.0,200,63.332498
-200.0,200,63.950005
-200.0,200,64.329984
-200.0,200,64.710888
-200.0,200,65.432267
-200.0,200,65.791896
-200.0,200,66.280291
-200.0,200,66.776744
-200.0,200,68.189975
-209.0,200,68.527307
-200.0,200,68.85094
-200.0,200,69.357652
-200.0,200,69.92
-200.0,200,70.33728
-200.0,200,71.660712
-209.0,200,72.310767
-200.0,200,72.572924
-200.0,200,74.110419
-200.0,200,74.436396
-200.0,200,74.792659
-200.0,200,75.849492
-200.0,200,76.60122
-200.0,200,76.878037
-200.0,200,78.399556
-200.0,200,79.187725
-200.0,200,79.463392
-200.0,200,80.736399
-200.0,200,81.15455
-200.0,200,81.682652
-200.0,200,82.311341
-200.0,200,83.539212
-200.0,200,84.621205
-200.0,200,85.19509
-200.0,200,86.11197
-200.0,200,87.428827
-200.0,200,87.999444
-200.0,200,88.651089
-200.0,200,89.230817
-200.0,200,89.598754
-200.0,200,90.022297
-200.0,200,90.500847
-200.0,200,90.943781
-200.0,200,91.441045
-200.0,200,92.727077
-200.0,200,93.155803
-200.0,200,93.70589
-200.0,200,94.678975
-200.0,200,95.311576
-200.0,200,95.602417
-200.0,200,96.790612
-200.0,200,97.259722
-200.0,200,97.936159
-200.0,200,98.283988
-200.0,200,99.468778
-200.0,200,100.818134
-200.0,200,101.118717
-200.0,200,102.66424
-200.0,200,103.015949
-200.0,200,104.627935
-200.0,200,104.970983
-200.0,200,105.250834
-200.0,200,105.552494
-200.0,200,106.020676
-200.0,200,106.323047
-200.0,200,108.506226
-200.0,200,109.210966
-200.0,200,109.629478
-200.0,200,110.404985
-200.0,200,110.738863
-200.0,200,112.64099
-200.0,200,113.266838
-200.0,200,114.242612
-200.0,200,114.765027
-200.0,200,115.032524
-200.0,200,115.956279
-200.0,200,116.42465
-200.0,200,116.929243
-200.0,200,117.346699
-200.0,200,117.929201
-200.0,200,118.335106
-200.0,200,118.626516
-200.0,200,119.351556
-200.0,200,120.66714
-200.0,200,121.917938
-200.0,200,122.69943
-200.0,200,123.27809
-200.0,200,123.551462
-200.0,200,124.705717
-200.0,200,125.319558
-200.0,200,125.69086
-200.0,200,126.868712
-200.0,200,127.478835
-200.0,200,128.076643
-200.0,200,128.655096
-200.0,200,129.673892
-200.0,200,130.609051
-200.0,200,131.137604
-200.0,200,131.998868
-200.0,200,132.710976
-200.0,200,133.650502
-200.0,200,133.917036
-200.0,200,134.794133
-200.0,200,135.351731
-200.0,200,137.498096
-200.0,200,138.020059
-200.0,200,139.097028
-200.0,200,139.479787
-200.0,200,140.19535
-200.0,200,141.065315
-200.0,200,141.672414
-200.0,200,142.180924
-200.0,200,142.542826
-200.0,200,143.151135
-200.0,200,143.798903
-200.0,200,144.172609
-200.0,200,144.441606
-200.0,200,144.71747
-200.0,200,144.973229
-200.0,200,145.240152
-200.0,200,145.496044
-200.0,200,145.752777
-200.0,200,146.007426
-200.0,200,146.273175
-200.0,200,146.53322
-200.0,200,146.787652
-200.0,200,147.056706
-200.0,200,147.341578
-200.0,200,147.587114
-200.0,200,147.844121
-200.0,200,148.086056
-200.0,200,148.333408
-200.0,200,148.576403
-200.0,200,148.817606
-200.0,200,149.476984
-200.0,200,149.724371
-200.0,200,149.98467
-200.0,200,150.246154
-200.0,200,150.501203
