#{"t_start": 1756064092.633144, "env_id": "None"}
r,l,t
-911.0,200,1.365851
-812.0,200,1.38798
-848.0,200,1.440836
-803.0,200,1.467059
-785.0,200,1.491943
-623.0,200,2.166393
-758.0,200,2.512906
-812.0,200,2.853529
-641.0,200,3.200805
-731.0,200,3.574578
-677.0,200,3.947186
-659.0,200,4.311368
-641.0,200,4.704404
-605.0,200,5.088029
-677.0,200,5.477067
-596.0,200,5.854703
-731.0,200,6.257851
-641.0,200,6.663893
-551.0,200,7.075365
-461.0,200,7.503102
-569.0,200,7.92039
-614.0,200,8.365842
-524.0,200,8.799783
-497.0,200,9.214993
-470.0,200,9.652887
-416.0,200,11.576286
-524.0,200,12.033189
-425.0,200,12.475159
-389.0,200,12.916498
-497.0,200,13.363956
-398.0,200,13.864738
-479.0,200,14.314178
-335.0,200,14.803998
-380.0,200,15.294164
-434.0,200,15.821368
-335.0,200,16.342335
-308.0,200,16.877035
-398.0,200,17.399874
-137.0,86,17.621782
-362.0,200,18.132867
-144.0,84,18.345353
-362.0,200,18.868961
-254.0,200,19.417867
-317.0,200,19.945633
-299.0,200,20.48512
-263.0,200,21.03248
-326.0,200,21.567524
-236.0,200,22.12069
-263.0,200,22.683759
-272.0,200,23.296699
-227.0,200,23.873368
-209.0,200,26.071234
-236.0,200,26.681421
-227.0,200,27.245788
-218.0,200,27.820947
-245.0,200,28.423551
-209.0,200,29.022521
-245.0,200,29.592316
-218.0,200,30.204099
-227.0,200,30.783435
-200.0,200,31.360564
-218.0,200,31.947894
-218.0,200,32.544672
-236.0,200,33.135889
-227.0,200,33.732009
-227.0,200,34.334103
-227.0,200,34.916422
-218.0,200,35.508322
-245.0,200,36.112021
-245.0,200,36.694035
-236.0,200,37.274736
-227.0,200,37.858102
-236.0,200,38.444386
-218.0,200,39.013164
-236.0,200,39.613724
-245.0,200,40.183957
-227.0,200,42.346661
-236.0,200,42.932177
-227.0,200,43.508491
-218.0,200,44.093884
-209.0,200,44.701657
-236.0,200,45.27318
-227.0,200,45.845225
-227.0,200,46.424415
-218.0,200,47.006596
-209.0,200,47.561326
-227.0,200,48.149004
-227.0,200,48.746177
-236.0,200,49.323494
-245.0,200,49.888685
-236.0,200,50.456189
-236.0,200,51.027146
-209.0,200,51.617448
-209.0,200,52.185391
-236.0,200,52.738096
-227.0,200,53.32571
-245.0,200,53.923192
-209.0,200,54.511705
-245.0,200,55.092353
-263.0,200,55.687265
-227.0,200,56.298534
-245.0,200,58.459932
-263.0,200,59.032924
-272.0,200,59.594082
-227.0,200,60.17318
-209.0,200,60.754129
-245.0,200,61.328772
-209.0,200,61.91052
-236.0,200,62.502018
-218.0,200,63.079427
-209.0,200,63.641116
-245.0,200,64.221067
-245.0,200,64.764963
-227.0,200,65.326193
-218.0,200,65.881874
-254.0,200,66.437107
-227.0,200,67.021352
-200.0,200,67.598963
-209.0,200,68.161181
