#{"t_start": 1756103115.043471, "env_id": "None"}
r,l,t
-695.0,200,2.728704
-821.0,200,3.958421
-830.0,200,4.883377
-767.0,200,5.830297
-749.0,200,6.584477
-704.0,200,7.499092
-965.0,200,8.408368
-713.0,200,9.34894
-794.0,200,10.284113
-767.0,200,11.025201
-758.0,200,11.938427
-767.0,200,12.835022
-803.0,200,13.783224
-686.0,200,14.540992
-740.0,200,15.464358
-632.0,200,16.375322
-866.0,200,17.275805
-740.0,200,18.19833
-821.0,200,18.937062
-713.0,200,19.829734
-758.0,200,20.719602
-785.0,200,21.592995
-794.0,200,22.195333
-767.0,200,22.957494
-821.0,200,23.790005
-821.0,200,26.256032
-803.0,200,27.048167
-740.0,200,27.693133
-677.0,200,28.581687
-857.0,200,29.51107
-776.0,200,30.378032
-803.0,200,31.022687
-677.0,200,31.826235
-794.0,200,32.673922
-650.0,200,33.490217
-704.0,200,34.289422
-704.0,200,34.933214
-767.0,200,35.744206
-713.0,200,36.631266
-731.0,200,37.548325
-785.0,200,38.41126
-722.0,200,39.05385
-695.0,200,39.88483
-749.0,200,40.686354
-525.0,195,41.481127
-587.0,200,42.130577
-731.0,200,42.898161
-695.0,200,43.700361
-803.0,200,44.60882
-740.0,200,45.498003
-677.0,200,47.767034
-677.0,200,48.588707
-614.0,200,49.425142
-623.0,200,50.239358
-722.0,200,50.859679
-677.0,200,51.676458
-668.0,200,52.586712
-623.0,200,53.502116
-556.0,199,54.292036
-632.0,200,54.930559
-641.0,200,55.770848
-596.0,200,56.568182
-596.0,200,57.354946
-614.0,200,58.005618
-632.0,200,58.821604
-524.0,200,59.677738
-470.0,200,60.595539
-524.0,200,61.4518
-632.0,200,62.082135
-515.0,200,62.881157
-425.0,200,63.694844
-560.0,200,64.498431
-434.0,200,65.274157
-425.0,200,65.91533
-461.0,200,66.745518
-244.0,139,69.138916
-407.0,200,69.813628
-353.0,200,70.616404
-353.0,200,71.396705
-407.0,200,72.194689
-263.0,200,72.975779
-281.0,200,73.611852
-272.0,200,74.390392
-263.0,200,75.185948
-263.0,200,76.084861
-254.0,200,76.820079
-218.0,200,77.689172
-245.0,200,78.471141
-245.0,200,79.296444
-209.0,200,80.154657
-209.0,200,80.806193
-227.0,200,81.613369
-209.0,200,82.40283
-227.0,200,83.222492
-209.0,200,83.937313
-200.0,200,84.830291
-200.0,200,85.647166
-209.0,200,86.457691
-200.0,200,87.246863
-200.0,200,87.901101
-200.0,200,90.317174
-200.0,200,91.140893
-200.0,200,92.059983
-209.0,200,92.786559
-200.0,200,93.598518
-200.0,200,94.410198
-200.0,200,95.222076
-200.0,200,96.036183
-218.0,200,96.66867
-200.0,200,97.49698
-200.0,200,98.310068
-200.0,200,99.126385
-209.0,200,100.025666
-209.0,200,100.738372
-200.0,200,101.504622
-200.0,200,102.278161
-200.0,200,103.054553
-200.0,200,103.659294
-200.0,200,104.415991
-200.0,200,105.170771
-200.0,200,105.914054
-200.0,200,106.665783
-200.0,200,107.272483
-200.0,200,108.046598
-200.0,200,108.833117
-209.0,200,111.530078
-200.0,200,112.272773
-200.0,200,113.19112
-200.0,200,114.090063
-200.0,200,115.003803
-209.0,200,115.891253
-200.0,200,116.621017
-200.0,200,117.526087
-200.0,200,118.407902
-200.0,200,119.319377
-200.0,200,120.086808
-200.0,200,121.029557
-200.0,200,121.953303
-200.0,200,122.893803
-209.0,200,123.848866
-200.0,200,124.61154
-200.0,200,125.562081
-200.0,200,126.489267
-200.0,200,127.421017
-200.0,200,128.351991
-200.0,200,129.105088
-200.0,200,130.020738
-200.0,200,130.921783
-200.0,200,131.786779
-200.0,200,132.544266
-200.0,200,135.345274
-200.0,200,136.276411
-200.0,200,137.213521
-200.0,200,138.158738
-200.0,200,138.88855
-200.0,200,139.79933
-200.0,200,140.736613
-200.0,200,141.673525
-200.0,200,142.404292
-200.0,200,143.330378
-200.0,200,144.27041
-200.0,200,145.23123
-200.0,200,146.180268
-200.0,200,146.900358
-200.0,200,147.810038
-200.0,200,148.736519
-200.0,200,149.692232
-200.0,200,150.434359
-209.0,200,151.35301
-200.0,200,152.26485
-200.0,200,153.195724
-200.0,200,154.135462
-200.0,200,154.86563
-200.0,200,155.791314
-209.0,200,156.731498
-200.0,200,159.550117
-200.0,200,160.451641
-200.0,200,161.147526
-200.0,200,162.05293
-200.0,200,162.943061
-209.0,200,163.836287
-200.0,200,164.565802
-200.0,200,165.476307
-200.0,200,166.388467
-200.0,200,167.293569
-200.0,200,168.21367
-200.0,200,168.951087
-200.0,200,169.880732
-200.0,200,170.801104
-200.0,200,171.711276
-200.0,200,172.456178
-200.0,200,173.370323
-200.0,200,174.307021
-200.0,200,175.230248
-200.0,200,176.127458
-200.0,200,176.8503
-200.0,200,177.736311
-200.0,200,178.629369
-200.0,200,179.556106
-200.0,200,180.278435
-200.0,200,182.825805
-200.0,200,183.733835
-200.0,200,184.654683
-200.0,200,185.59115
-200.0,200,186.322683
-200.0,200,187.23841
-200.0,200,188.147937
-200.0,200,189.070261
-200.0,200,189.996282
-200.0,200,190.721678
-200.0,200,191.634707
-200.0,200,192.52924
-200.0,200,193.465719
-200.0,200,194.231696
-200.0,200,195.166425
-200.0,200,196.060901
-200.0,200,196.967239
