2025-05-22 04:10:36,921 - Episode 1 | Reward: 1.0 | Steps: 35 | Distance: 0.0
2025-05-22 04:10:37,598 - Episode 2 | Reward: 1.0 | Steps: 160 | Distance: 0.0
2025-05-22 04:10:37,612 - Episode 3 | Reward: 1.0 | Steps: 151 | Distance: 0.0
2025-05-22 04:10:37,626 - Episode 4 | Reward: 1.0 | Steps: 114 | Distance: 0.0
2025-05-22 04:10:37,666 - Episode 5 | Reward: 1.0 | Steps: 377 | Distance: 0.0
2025-05-22 04:10:37,707 - Episode 6 | Reward: 1.0 | Steps: 218 | Distance: 0.0
2025-05-22 04:10:37,726 - Episode 7 | Reward: 1.0 | Steps: 86 | Distance: 0.0
2025-05-22 04:10:37,744 - Episode 8 | Reward: 1.0 | Steps: 10 | Distance: 0.0
2025-05-22 04:10:37,780 - Episode 9 | Reward: 1.0 | Steps: 2 | Distance: 0.0
2025-05-22 04:10:37,847 - Episode 10 | Reward: 1.0 | Steps: 191 | Distance: 0.0
2025-05-22 04:10:37,876 - Episode 11 | Reward: 1.0 | Steps: 144 | Distance: 0.0
2025-05-22 04:10:37,892 - Episode 12 | Reward: 1.0 | Steps: 34 | Distance: 0.0
2025-05-22 04:10:37,906 - Episode 13 | Reward: 1.0 | Steps: 65 | Distance: 0.0
2025-05-22 04:10:37,913 - Episode 14 | Reward: 1.0 | Steps: 16 | Distance: 0.0
2025-05-22 04:10:37,944 - Episode 15 | Reward: 1.0 | Steps: 154 | Distance: 0.0
2025-05-22 04:10:37,950 - Episode 16 | Reward: 1.0 | Steps: 24 | Distance: 0.0
2025-05-22 04:10:37,956 - Episode 17 | Reward: 1.0 | Steps: 33 | Distance: 0.0
2025-05-22 04:10:37,974 - Episode 18 | Reward: 1.0 | Steps: 165 | Distance: 0.0
2025-05-22 04:10:38,209 - Episode 19 | Reward: 1.0 | Steps: 703 | Distance: 0.0
2025-05-22 04:10:38,294 - Episode 20 | Reward: 1.0 | Steps: 221 | Distance: 0.0
2025-05-22 04:10:38,320 - Episode 21 | Reward: 1.0 | Steps: 3 | Distance: 0.0
2025-05-22 04:10:38,390 - Episode 22 | Reward: 1.0 | Steps: 406 | Distance: 0.0
2025-05-22 04:10:38,406 - Episode 23 | Reward: 1.0 | Steps: 118 | Distance: 0.0
2025-05-22 04:10:38,461 - Episode 24 | Reward: 1.0 | Steps: 500 | Distance: 0.0
