env,algo,run_id,seed,r_max,r_end,delta_post,s_final,delta_tol,slope_tol,trend_strict,r_max_relaxed,r_end_relaxed,delta_post_relaxed,s_final_relaxed,delta_tol_relaxed,slope_tol_relaxed,trend_relaxed
CartPole-v1,a2c,20251026_035110_983255_pid796198_seed0,0,500.0,455.9640002441406,-44.03599975585939,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-14.424444580078127,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041229_093988_pid801044_seed0,0,500.0,469.5740002441406,-30.42599975585938,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-21.748889160156253,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041229_146765_pid801079_seed0,0,500.0,367.51999938964843,-132.48000061035157,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-2.413333468967014,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_041229_153750_pid801041_seed0,0,500.0,470.0,-30.0,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041229_253195_pid801093_seed0,0,500.0,470.0,-30.0,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041229_254232_pid801099_seed0,0,500.0,470.0,-30.0,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041229_272811_pid801094_seed0,0,500.0,438.75999984741213,-61.24000015258787,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-10.588889058430986,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041229_293656_pid801084_seed0,0,500.0,470.0,-30.0,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041229_299714_pid801071_seed0,0,500.0,451.1679998779297,-48.832000122070326,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-8.24888882107205,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_041229_334972_pid801048_seed0,0,495.2799987792969,405.309998626709,-89.97000015258789,-99.99999999999997,-24.763999938964844,4.952799987792969,post_peak_degradation,494.6779962158203,345.760009765625,-148.91798645019531,-36.55111100938585,-49.46779962158203,9.893559924316406,post_peak_degradation
CartPole-v1,a2c,20251026_041229_345006_pid801101_seed0,0,500.0,438.75999984741213,-61.24000015258787,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-10.588889058430986,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041229_350542_pid801056_seed0,0,500.0,470.0,-30.0,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041229_431484_pid801068_seed0,0,500.0,470.0,-30.0,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
