env,algo,run_id,seed,r_max_relaxed,r_end_relaxed,delta_post_relaxed,s_final_relaxed,delta_eps_relaxed,slope_eps_relaxed,trend_relaxed
CartPole-v1,a2c,20251026_035110_983255_pid796198_seed0,0,500.0,500.0,0.0,-14.424444580078127,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041229_093988_pid801044_seed0,0,500.0,500.0,0.0,-21.748889160156253,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041229_146765_pid801079_seed0,0,500.0,500.0,0.0,-2.413333468967014,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_041229_153750_pid801041_seed0,0,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041229_253195_pid801093_seed0,0,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041229_254232_pid801099_seed0,0,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041229_272811_pid801094_seed0,0,500.0,500.0,0.0,-10.588889058430986,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041229_293656_pid801084_seed0,0,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041229_299714_pid801071_seed0,0,500.0,500.0,0.0,-8.24888882107205,-50.0,10.0,converged_relaxed
CartPole-v1,a2c,20251026_041229_334972_pid801048_seed0,0,494.6779962158203,345.760009765625,-148.91798645019531,-36.55111100938585,-49.46779962158203,9.893559924316406,post_peak_degradation
CartPole-v1,a2c,20251026_041229_345006_pid801101_seed0,0,500.0,500.0,0.0,-10.588889058430986,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041229_350542_pid801056_seed0,0,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041229_431484_pid801068_seed0,0,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041229_433087_pid801091_seed0,0,500.0,500.0,0.0,-20.091111246744795,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041229_494239_pid801050_seed0,0,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041229_707176_pid801112_seed0,0,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041229_763265_pid801122_seed0,0,500.0,500.0,0.0,-14.70888943142361,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_041229_904611_pid801083_seed0,0,493.3639984130859,421.72003173828125,-71.64396667480463,-26.962222120496964,-49.33639984130859,9.867279968261718,post_peak_degradation
