env,algo,trend_relaxed,count,fraction
CartPole-v1,a2c,converged_relaxed,156,0.19330855018587362
CartPole-v1,a2c,post_peak_degradation,182,0.2255266418835192
CartPole-v1,a2c,uncertain,469,0.5811648079306072
CartPole-v1,ppo,converged_relaxed,1454,0.9173501577287066
CartPole-v1,ppo,post_peak_degradation,21,0.013249211356466877
CartPole-v1,ppo,uncertain,110,0.0694006309148265
Hopper-v4,a2c,converged_relaxed,413,0.1792534722222222
Hopper-v4,a2c,post_peak_degradation,277,0.12022569444444445
Hopper-v4,a2c,uncertain,1614,0.7005208333333334
Hopper-v4,ppo,converged_relaxed,419,0.07274305555555556
Hopper-v4,ppo,post_peak_degradation,1469,0.25503472222222223
Hopper-v4,ppo,uncertain,3872,0.6722222222222223
LunarLander-v3,a2c,converged_relaxed,47,0.036265432098765434
LunarLander-v3,a2c,post_peak_degradation,334,0.25771604938271603
LunarLander-v3,a2c,uncertain,915,0.7060185185185185
LunarLander-v3,ppo,converged_relaxed,142,0.1095679012345679
LunarLander-v3,ppo,post_peak_degradation,299,0.23070987654320987
LunarLander-v3,ppo,uncertain,855,0.6597222222222222
LunarLanderContinuous-v3,a2c,converged_relaxed,140,0.04050925925925926
LunarLanderContinuous-v3,a2c,post_peak_degradation,1489,0.4308449074074074
LunarLanderContinuous-v3,a2c,uncertain,1827,0.5286458333333334
LunarLanderContinuous-v3,ppo,converged_relaxed,117,0.03046875
LunarLanderContinuous-v3,ppo,post_peak_degradation,1539,0.40078125
LunarLanderContinuous-v3,ppo,uncertain,2184,0.56875
