env,algo,run_dir,T_to_target,success,seed,total_timesteps,n_envs,hyperparams_json
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251110_222250_181240_pid3868778_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0001, ""n_steps"": 128, ""gamma"": 0.99, ""gae_lambda"": 0.95, ""ent_coef"": 0.0, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": false, ""rms_prop_eps"": 1e-05, ""use_sde"": true, ""sde_sample_freq"": 64, ""policy_kwargs"": {""net_arch"": [128, 128], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251110_075808_189614_pid3720350_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0003, ""n_steps"": 512, ""gamma"": 0.995, ""gae_lambda"": 0.9, ""ent_coef"": 0.001, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": false, ""rms_prop_eps"": 1e-05, ""use_sde"": true, ""sde_sample_freq"": 64, ""policy_kwargs"": {""net_arch"": [256, 256], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251107_201919_777204_pid2994475_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0007, ""n_steps"": 128, ""gamma"": 0.99, ""gae_lambda"": 0.95, ""ent_coef"": 0.001, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": false, ""rms_prop_eps"": 0.0001, ""use_sde"": true, ""sde_sample_freq"": 64, ""policy_kwargs"": {""net_arch"": [256, 256], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251109_020157_194605_pid3260643_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0007, ""n_steps"": 1024, ""gamma"": 0.99, ""gae_lambda"": 0.97, ""ent_coef"": 0.001, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": true, ""rms_prop_eps"": 0.0001, ""use_sde"": true, ""sde_sample_freq"": 64, ""policy_kwargs"": {""net_arch"": [256, 256], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251109_214017_687891_pid3608032_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0003, ""n_steps"": 256, ""gamma"": 0.995, ""gae_lambda"": 0.9, ""ent_coef"": 0.0, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": true, ""rms_prop_eps"": 0.0001, ""use_sde"": true, ""sde_sample_freq"": 64, ""policy_kwargs"": {""net_arch"": [256, 256], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251110_000535_012343_pid3639244_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0003, ""n_steps"": 256, ""gamma"": 0.995, ""gae_lambda"": 0.95, ""ent_coef"": 0.001, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": false, ""rms_prop_eps"": 1e-05, ""use_sde"": true, ""sde_sample_freq"": 4, ""policy_kwargs"": {""net_arch"": [256, 256], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251108_102124_312902_pid3130293_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0007, ""n_steps"": 256, ""gamma"": 0.995, ""gae_lambda"": 0.95, ""ent_coef"": 0.001, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": true, ""rms_prop_eps"": 1e-05, ""use_sde"": true, ""sde_sample_freq"": 4, ""policy_kwargs"": {""net_arch"": [256, 256], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251109_090937_868825_pid3315209_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0003, ""n_steps"": 128, ""gamma"": 0.99, ""gae_lambda"": 0.95, ""ent_coef"": 0.0, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": false, ""rms_prop_eps"": 0.0001, ""use_sde"": true, ""sde_sample_freq"": 64, ""policy_kwargs"": {""net_arch"": [128, 128], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251111_115835_350669_pid3993952_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0001, ""n_steps"": 256, ""gamma"": 0.995, ""gae_lambda"": 0.95, ""ent_coef"": 0.0, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": true, ""rms_prop_eps"": 0.0001, ""use_sde"": true, ""sde_sample_freq"": 4, ""policy_kwargs"": {""net_arch"": [128, 128], ""ortho_init"": true}}"
Hopper-v4,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs/Hopper-v4/a2c/20251107_225520_883451_pid3020651_seed0,3000000,False,0,3000000,,"{""learning_rate"": 0.0007, ""n_steps"": 128, ""gamma"": 0.995, ""gae_lambda"": 0.9, ""ent_coef"": 0.001, ""vf_coef"": 0.5, ""max_grad_norm"": 0.5, ""use_rms_prop"": true, ""rms_prop_eps"": 1e-05, ""use_sde"": true, ""sde_sample_freq"": 64, ""policy_kwargs"": {""net_arch"": [128, 128], ""ortho_init"": true}}"
