env,algo,run_dir,n_episodes,sigma_intra_full,sigma_intra_late,learning_rate,ent_coef,n_steps
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_035110_983255_pid796198_seed0,862,172.94534301757812,124.33853912353516,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_041229_093988_pid801044_seed0,897,188.16110229492188,38.93119430541992,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_041229_146765_pid801079_seed0,1258,145.85333251953125,148.24546813964844,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_041229_153750_pid801041_seed0,803,172.4908905029297,53.62688446044922,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_041229_253195_pid801093_seed0,761,170.235595703125,21.564441680908203,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_041229_254232_pid801099_seed0,889,188.3141326904297,3.989511728286743,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_041229_272811_pid801094_seed0,985,182.92202758789062,162.20826721191406,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_041229_293656_pid801084_seed0,759,168.56817626953125,72.8411636352539,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_041229_299714_pid801071_seed0,1025,186.16139221191406,149.7830047607422,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_041229_334972_pid801048_seed0,1125,174.46685791015625,173.81378173828125,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_041229_345006_pid801101_seed0,985,182.92202758789062,162.20826721191406,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_041229_350542_pid801056_seed0,869,196.4300079345703,0.0,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_041229_431484_pid801068_seed0,834,180.56707763671875,41.42030334472656,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_041229_433087_pid801091_seed0,878,180.149169921875,28.37832260131836,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_041229_494239_pid801050_seed0,869,196.4300079345703,0.0,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_041229_707176_pid801112_seed0,795,178.18081665039062,79.03916931152344,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_041229_763265_pid801122_seed0,886,177.24940490722656,132.67294311523438,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_041229_904611_pid801083_seed0,818,170.1478729248047,163.76881408691406,,,
CartPole-v1,a2c,/homes/sohawan2/reinforcement-learning-thesis/thesis_project/runs_seed0/CartPole-v1/a2c/20251026_041230_075294_pid801121_seed0,1432,102.70872497558594,61.896324157714844,,,
