learning_rate,n_steps,batch_size,n_epochs,gamma,clip_range,gae_lambda,ent_coef,vf_coef,max_grad_norm,target_kl,policy_kwargs
3e-4,128,32,10,0.99,0.2,0.90,0.0,0.5,0.5,0.02,"dict(net_arch=[64,64])"
3e-4,128,32,10,0.99,0.2,0.90,0.0,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,128,32,10,0.99,0.2,0.90,0.01,0.5,0.5,0.02,"dict(net_arch=[64,64])"
3e-4,128,32,10,0.99,0.2,0.90,0.01,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,128,32,10,0.99,0.2,0.90,0.02,0.5,0.5,0.02,"dict(net_arch=[64,64])"
3e-4,128,32,10,0.99,0.2,0.90,0.02,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,128,32,10,0.99,0.2,0.95,0.0,0.5,0.5,0.02,"dict(net_arch=[64,64])"
3e-4,128,32,10,0.99,0.2,0.95,0.0,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,128,32,10,0.99,0.2,0.95,0.01,0.5,0.5,0.02,"dict(net_arch=[64,64])"
3e-4,128,32,10,0.99,0.2,0.95,0.01,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,128,32,10,0.99,0.2,0.95,0.02,0.5,0.5,0.02,"dict(net_arch=[64,64])"
3e-4,128,32,10,0.99,0.2,0.95,0.02,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,128,32,10,0.99,0.3,0.90,0.0,0.5,0.5,0.02,"dict(net_arch=[64,64])"
3e-4,128,32,10,0.99,0.3,0.90,0.0,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,128,32,10,0.99,0.3,0.90,0.01,0.5,0.5,0.02,"dict(net_arch=[64,64])"
3e-4,128,32,10,0.99,0.3,0.90,0.01,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,128,32,10,0.99,0.3,0.90,0.02,0.5,0.5,0.02,"dict(net_arch=[64,64])"
3e-4,128,32,10,0.99,0.3,0.90,0.02,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,128,32,10,0.99,0.3,0.95,0.0,0.5,0.5,0.02,"dict(net_arch=[64,64])"
3e-4,128,32,10,0.99,0.3,0.95,0.0,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,128,32,10,0.99,0.3,0.95,0.01,0.5,0.5,0.02,"dict(net_arch=[64,64])"
3e-4,128,32,10,0.99,0.3,0.95,0.01,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,128,32,10,0.99,0.3,0.95,0.02,0.5,0.5,0.02,"dict(net_arch=[64,64])"
3e-4,128,32,10,0.99,0.3,0.95,0.02,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,128,32,10,0.995,0.2,0.90,0.0,0.5,0.5,0.02,"dict(net_arch=[64,64])"
3e-4,128,32,10,0.995,0.2,0.90,0.0,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,128,32,10,0.995,0.2,0.90,0.01,0.5,0.5,0.02,"dict(net_arch=[64,64])"
3e-4,128,32,10,0.995,0.2,0.90,0.01,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,128,32,10,0.995,0.2,0.90,0.02,0.5,0.5,0.02,"dict(net_arch=[64,64])"
3e-4,128,32,10,0.995,0.2,0.90,0.02,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,128,32,10,0.995,0.2,0.95,0.0,0.5,0.5,0.02,"dict(net_arch=[64,64])"
3e-4,128,32,10,0.995,0.2,0.95,0.0,0.5,0.5,0.02,"dict(net_arch=[128,128])"
3e-4,128,32,10,0.995,0.2,0.95,0.01,0.5,0.5,0.02,"dict(net_arch=[64,64])"
3e-4,128,32,10,0.995,0.2,0.95,0.01,0.5,0.5,0.02,"dict(net_arch=[128,128])"
